"StofCV";"nInNm";"fInNm";"NBase";"NInNmX";"NSaltEstr";"FBase";"FInNmX";"FSaltEstr";"Amb";"Hosp"
"00118";"apraclonidine hydrochloride";"apraclonidine chlorhydrate";"apraclonidine";"_";"hydrochloride";"apraclonidine";"_";"chlorhydrate";true;false
"00164";"Ballota foetida (vloeibaar extract)";"Ballota foetida (extrait fluide)";"Ballota foetida";"vloeibaar extract [plantaardig]";"_";"Ballota foetida";"extrait fluide [végétal]";"_";true;false
"01283";"nonacog alfa";"nonacog alfa";"nonacog alfa";"[biologisch, biosynthetisch]";"_";"nonacog alfa";"[biologique, biosynthétique]";"_";true;false
"01195";"mivacurium";"mivacurium";"mivacurium";"_";"_";"mivacurium";"_";"_";true;false
"00926";"influenzavirus (geïnactiveerd, trivalent)";"virus influenza (inactivés, trivalent)";"influenzavirus";"geïnactiveerd, trivalent [biologisch, viraal]";"_";"virus influenza";"inactivés, trivalent [biologique, viral]";"_";true;false
"01988";"influenzavirus (geïnactiveerd, tetravalent)";"virus influenza (inactivés, tétravalent)";"influenzavirus";"geïnactiveerd, tetravalent";"_";"virus influenza";"inactivés, tétravalent";"_";true;false
"00163";"bacteriënfiltraat (polyvalent)";"filtrat bactérien (polyvalent)";"bacteriënfiltraat";"polyvalent [bacterieel, biologisch]";"_";"filtrat bactérien";"polyvalent [bactérien, biologique]";"_";true;false
"01754";"tobramycine sulfaat";"tobramycine sulfate";"tobramycine";"[bacterieel]";"sulfaat";"tobramycine";"[bactérien]";"sulfate";true;false
"02135";"tenofovir alafenamide";"ténofovir alafénamide";"tenofovir";"_";"alafenamide";"ténofovir";"_";"alafénamide";true;false
"00452";"Cynara scolymus (droog extract)";"Cynara scolymus (extrait sec)";"Cynara scolymus";"droog extract L. folium [plantaardig]";"_";"Cynara scolymus";"extrait sec L. folium [végétal]";"_";true;false
"00572";"droperidol";"dropéridol";"droperidol";"_";"_";"dropéridol";"_";"_";true;false
"01958";"pethidine hydrochloride";"péthidine chlorhydrate";"pethidine";"_";"hydrochloride";"péthidine";"_";"chlorhydrate";true;false
"00968";"jood";"iode";"jood";"_";"_";"iode";"_";"_";true;false
"01277";"nitrofural";"nitrofural";"nitrofural";"_";"_";"nitrofural";"_";"_";true;false
"00453";"Cynara scolymus (poeder)";"Cynara scolymus (poudre)";"Cynara scolymus";"poeder [plantaardig]";"_";"Cynara scolymus";"poudre [végétal]";"_";true;false
"02136";"zink gluconaat";"zinc gluconate";"zink";"_";"gluconaat";"zinc";"_";"gluconate";true;false
"01966";"EDTA";"EDTA";"EDTA";"_";"_";"EDTA";"_";"_";true;false
"02045";"waterstofcarbonaat";"hydrogénocarbonate";"waterstofcarbonaat";"_";"_";"hydrogénocarbonate";"_";"_";true;false
"00666";"Eucalyptus (vluchtige olie)";"Eucalyptus (huile essentielle)";"Eucalyptus";"vluchtige olie [plantaardig]";"_";"Eucalyptus";"huile essentielle [végétal]";"_";true;false
"00491";"desmopressine acetaat";"desmopressine acétate";"desmopressine";"_";"acetaat";"desmopressine";"_";"acétate";true;false
"00676";"factor VIII";"facteur VIII";"factor VIII";"[biologisch, humaan plasma]";"_";"facteur VIII";"[biologique, plasma humain]";"_";true;false
"00604";"eosine dinatrium";"éosine disodium";"eosine";"_";"dinatrium";"éosine";"_";"disodium";true;false
"00230";"Bordetella pertussis (antigenen)";"Bordetella pertussis (antigènes)";"Bordetella pertussis";"antigenen [bacterieel, biologisch]";"_";"Bordetella pertussis";"antigènes [bactérien, biologique]";"_";true;false
"01758";"tolterodine tartraat";"toltérodine tartrate";"tolterodine";"_";"tartraat";"toltérodine";"_";"tartrate";true;false
"00357";"choriongonadotropine alfa";"choriogonadotropine alfa";"choriongonadotropine alfa";"[biologisch, biosynthetisch]";"_";"choriogonadotropine alfa";"[biologique, biosynthétique]";"_";true;false
"01219";"mycofenolaat natrium";"mycophénolate sodium";"mycofenolaat";"_";"natrium";"mycophénolate";"_";"sodium";true;false
"00804";"gadoxetaat dinatrium";"gadoxétate disodium";"gadoxetaat";"_";"dinatrium";"gadoxétate";"_";"disodium";true;false
"00711";"fesoterodine fumaraat";"fésotérodine fumarate";"fesoterodine";"_";"fumaraat";"fésotérodine";"_";"fumarate";true;false
"01989";"influenzavirus (levend verzwakt, tetravalent)";"virus influenza (vivants atténués, tétravalent)";"influenzavirus";"levend verzwakt, tetravalent";"_";"virus influenza";"vivants atténués, tétravalent";"_";true;false
"02133";"defibrotide";"défibrotide";"defibrotide";"[biologisch, darmslijmvlies varken]";"_";"défibrotide";"[biologique, muqueuse intestinale de porc]";"_";true;false
"02065";"eliglustat tartraat";"éliglustat tartrate";"eliglustat";"_";"tartraat";"éliglustat";"_";"tartrate";true;false
"00903";"ijzer(III) sacharose";"fer(III) saccharose";"ijzer(III)";"_";"sacharose";"fer(III)";"_";"saccharose";true;false
"01532";"retinol";"rétinol";"retinol";"_";"_";"rétinol";"_";"_";true;false
"02008";"selenium (onder vorm van natriumseleniet)";"sélénium (sous forme de sélénite de sodium)";"selenium";"onder vorm van natriumseleniet";"_";"sélénium";"sous forme de sélénite de sodium";"_";true;false
"01153";"methylaminolevulinaat hydrochloride";"méthyl aminolévulinate chlorhydrate";"methylaminolevulinaat";"_";"hydrochloride";"méthyl aminolévulinate";"_";"chlorhydrate";true;false
"02134";"humaan papillomavirus types 6, 11, 16, 18, 31, 33, 45, 52, 58 (L1-eiwitten)";"papillomavirus humain de types 6, 11, 16, 18, 31, 33, 45, 52, 58 (protéines L1)";"humaan papillomavirus types 6, 11, 16, 18, 31, 33, 45, 52, 58";"L1-eiwitten [biologisch, biosynthetisch]";"_";"papillomavirus humain de types 6, 11, 16, 18, 31, 33, 45, 52, 58";"protéines L1 [biologique, biosynthétique]";"_";true;false
"00403";"clodroninezuur";"acide clodronique";"clodroninezuur";"_";"_";"acide clodronique";"_";"_";true;false
"00972";"joxaglinezuur";"acide ioxaglique";"joxaglinezuur";"_";"_";"acide ioxaglique";"_";"_";true;false
"00035";"Aesculus hippocastanum (aescine)";"Aesculus hippocastanum (aescine)";"Aesculus hippocastanum";"aescine droog extract [plantaardig]";"_";"Aesculus hippocastanum";"aescine extrait sec [végétal]";"_";true;false
"02137";"Arctostaphylos uva-ursi (droog extract met 16 à 24% arbutine)";"Arctostaphylos uva-ursi (extrait sec avec 16 à 24% d’arbutine)";"Arctostaphylos uva-ursi";"droog extract met 16 à 24% arbutine blad [plantaardig]";"_";"Arctostaphylos uva-ursi";"extrait sec avec 16 à 24% d’arbutine feuille [végétal]";"_";true;false
"01517";"raltegravir kalium";"raltégravir potassium";"raltegravir";"_";"kalium";"raltégravir";"_";"potassium";true;false
"01569";"rosuvastatine";"rosuvastatine";"rosuvastatine";"_";"_";"rosuvastatine";"_";"_";true;false
"01571";"rotavirus, 1 type (levend verzwakt)";"rotavirus, 1 type (vivants atténués)";"rotavirus, 1 type";"levend verzwakt [biologisch, viraal]";"_";"rotavirus, 1 type";"vivants atténués [biologique, viral]";"_";true;false
"01572";"rotavirus, 5 types (levend verzwakt)";"rotavirus, 5 types (vivants atténués)";"rotavirus, 5 types";"levend verzwakt [biologisch, viraal]";"_";"rotavirus, 5 types";"vivants atténués [biologique, viral]";"_";true;false
"01884";"clopidogrel hydrochloride";"clopidogrel chlorhydrate";"clopidogrel";"_";"hydrochloride";"clopidogrel";"_";"chlorhydrate";true;false
"00328";"cetrimide";"cétrimide";"cetrimide";"_";"_";"cétrimide";"_";"_";true;false
"01883";"Cimicifuga racemosa (droog extract)";"Cimicifuga racemosa (extrait sec)";"Cimicifuga racemosa";"droog extract (L.) Nutt., rhizoma (Zilverkaarswortel) [plantaardig]";"_";"Cimicifuga racemosa";"extrait sec (L.) Nutt., rhizome (rhizome d'actée à grappes noires) [végétal]";"_";true;false
"01625";"somatostatine acetaat";"somatostatine acétate";"somatostatine";"hydraat";"acetaat";"somatostatine";"hydraté";"acétate";true;false
"01730";"tiapride hydrochloride";"tiapride chlorhydrate";"tiapride";"_";"hydrochloride";"tiapride";"_";"chlorhydrate";true;false
"01881";"Camellia sinensis (droog extract)";"Camellia sinensis (extrait sec)";"Camellia sinensis";"droog extract (L.) O. Kuntze, blad (groene theeblad) [plantaardig]";"_";"Camellia sinensis";"extrait sec (L.) O. Kuntze folium (feuille de thé vert) [végétal]";"_";true;false
"01878";"bedaquiline fumaraat";"bédaquiline fumarate";"bedaquiline";"_";"fumaraat";"bédaquiline";"_";"fumarate";true;false
"01324";"oteracil kalium";"otéracil potassium";"oteracil";"_";"kalium";"otéracil";"_";"potassium";true;false
"01018";"laurylsulfoacetaat natrium";"laurylsulfoacétate sodium";"laurylsulfoacetaat";"_";"natrium";"laurylsulfoacétate";"_";"sodium";true;false
"01413";"piperaquine tetrafosfaat";"pipéraquine tétraphosphate";"piperaquine";"tetrahydraat";"tetrafosfaat";"pipéraquine";"tétrahydraté";"tétraphosphate";true;false
"01332";"oxomemazine";"oxomémazine";"oxomemazine";"_";"_";"oxomémazine";"_";"_";true;false
"01268";"nifluminezuur";"acide niflumique";"nifluminezuur";"_";"_";"acide niflumique";"_";"_";true;false
"01098";"mecetronium ethylsulfaat";"mécétronium éthylsulfate";"mecetronium";"_";"ethylsulfaat";"mécétronium";"_";"éthylsulfate";true;false
"00971";"joversol";"ioversol";"joversol";"_";"_";"ioversol";"_";"_";true;false
"00658";"etilefrine hydrochloride";"étiléfrine chlorhydrate";"etilefrine";"_";"hydrochloride";"étiléfrine";"_";"chlorhydrate";true;false
"01279";"nitrofurantoïne (macrokristallen)";"nitrofurantoïne (macrocristalline)";"nitrofurantoïne";"macrokristallen";"_";"nitrofurantoïne";"macrocristalline";"_";true;false
"00194";"betahistine dimesilaat";"bétahistine dimésilate";"betahistine";"_";"dimesilaat";"bétahistine";"_";"dimésilate";true;false
"02066";"oestrogenen (geconjugeerd)";"estrogènes (conjugués)";"oestrogenen";"geconjugeerd [merrie urine]";"_";"estrogènes";"conjugués [urine de jument]";"_";true;false
"02055";"safinamide";"safinamide";"safinamide";"_";"_";"safinamide";"_";"_";true;false
"02056";"safinamide methaansulfonaat";"safinamide méthanesulfonate";"safinamide";"_";"methaansulfonaat";"safinamide";"_";"méthanesulfonate";true;false
"00415";"cloperastine fendizoaat";"clopérastine fendizoate";"cloperastine";"_";"fendizoaat";"clopérastine";"_";"fendizoate";true;false
"02012";"perindopril tosilaat";"périndopril tosilate";"perindopril";"_";"tosilaat";"périndopril";"_";"tosilate";true;false
"01980";"water voor injectie";"eau pour injection";"water voor injectie";"_";"_";"eau pour injection";"_";"_";true;false
"00020";"acetylsalicylzuur lysine";"acide acétylsalicylique lysine";"acetylsalicylzuur";"_";"lysine";"acide acétylsalicylique";"_";"lysine";true;false
"02009";"dimethylfumaraat";"fumarate de diméthyle";"dimethylfumaraat";"_";"_";"fumarate de diméthyle";"_";"_";true;false
"00158";"aztreonam lysine";"aztréonam lysine";"aztreonam";"_";"lysine";"aztréonam";"_";"lysine";true;false
"00367";"cilastatine natrium";"cilastatine sodium";"cilastatine";"_";"natrium";"cilastatine";"_";"sodium";true;false
"00218";"bismut oxijodidegallaat";"bismuth oxyiodogallate";"bismut";"_";"oxijodidegallaat";"bismuth";"_";"oxyiodogallate";true;false
"01828";"Vibrio cholerae serogroep O1 (geïnactiveerd)";"Vibrio cholerae sérogroupe O1 (inactivé)";"Vibrio cholerae serogroep O1";"geïnactiveerd [bacterieel, biologisch]";"_";"Vibrio cholerae sérogroupe O1";"inactivé [bactérien, biologique]";"_";true;false
"02129";"ceftaroline fosamil";"ceftaroline fosamil";"ceftaroline";"niet-gesolvateerd";"fosamil";"ceftaroline";"non-solvaté";"fosamil";true;false
"00297";"carteolol";"cartéolol";"carteolol";"_";"_";"cartéolol";"_";"_";true;false
"00485";"degarelix acetaat";"dégarélix acétate";"degarelix";"_";"acetaat";"dégarélix";"_";"acétate";true;false
"00651";"ethinylestradiol betadexcladraat";"éthinylestradiol bétadex clathrate";"ethinylestradiol";"_";"betadexcladraat";"éthinylestradiol";"_";"bétadex clathrate";true;false
"00494";"dexamethason isonicotinaat";"dexaméthasone isonicotinate";"dexamethason";"_";"isonicotinaat";"dexaméthasone";"_";"isonicotinate";true;false
"01999";"glucosamine sulfaat-kaliumchloride";"glucosamine sulfate-chlorure de potassium";"glucosamine";"[schaaldieren]";"sulfaat-kaliumchloride";"glucosamine";"[crustacés]";"sulfate-chlorure de potassium";true;false
"00496";"dexamethason natriummetasulfobenzoaat";"dexaméthasone métasulfobenzoate sodique";"dexamethason";"_";"natriummetasulfobenzoaat";"dexaméthasone";"_";"métasulfobenzoate sodique";true;false
"00167";"barnidipine hydrochloride";"barnidipine chlorhydrate";"barnidipine";"_";"hydrochloride";"barnidipine";"_";"chlorhydrate";true;false
"00130";"asenapine maleaat";"asénapine maléate";"asenapine";"_";"maleaat";"asénapine";"_";"maléate";true;false
"01965";"benzododecinium bromide";"benzododécinium bromure";"benzododecinium";"_";"bromide";"benzododécinium";"_";"bromure";true;false
"00532";"dimetindeen maleaat";"dimétindène maléate";"dimetindeen";"_";"maleaat";"dimétindène";"_";"maléate";true;false
"01955";"Rhodiola rosea (droog extract)";"Rhodiola rosea (extrait sec)";"Rhodiola rosea";"droog extract L., Wortel, EtOH 60% 1,5-5:1";"_";"Rhodiola rosea";"extrait sec L., Racine EtOH 60% 1,5-5:1";"_";true;false
"00567";"doxorubicine hydrochloride (in liposomen)";"doxorubicine chlorhydrate (en liposomes)";"doxorubicine";"in liposomen";"hydrochloride";"doxorubicine";"en liposomes";"chlorhydrate";true;false
"00444";"Crataegus monogyna (poeder)";"Crataegus monogyna (poudre)";"Crataegus monogyna";"poeder bloem [plantaardig]";"_";"Crataegus monogyna";"poudre fleur [végétal]";"_";true;false
"00833";"Glycine max (droog extract, 30% isoflavonen)";"Glycine max (extrait sec, 30% d'isoflavones)";"Glycine max";"droog extract, 30% isoflavonen Merr [plantaardig]";"_";"Glycine max";"extrait sec, 30% d'isoflavones Merr [végétal]";"_";true;false
"00232";"bortezomib mannitolboronaat";"bortézomib boronate de mannitol";"bortezomib";"_";"mannitolboronaat";"bortézomib";"_";"boronate de mannitol";true;false
"01110";"Melissa officinalis (droog extract)";"Melissa officinalis (extrait sec)";"Melissa officinalis";"droog extract blad [plantaardig]";"_";"Melissa officinalis";"extrait sec feuille [végétal]";"_";true;false
"01931";"Vitis vinifera (droog extract)";"Vitis vinifera (extrait sec)";"Vitis vinifera";"droog extract L., Blad, extractiesolvent Water (2,5-4:1) [plantaardig]";"_";"Vitis vinifera";"extrait sec L., folium, Solvant d'extraction : eau purifiée (4-6 :1) [végétal]";"_";true;false
"02014";"Althaea radix (vloeibaar extract)";"Althaea radix (extrait fluide)";"Althaea radix";"vloeibaar extract Water 1-12_14 [plantaardig]";"_";"Althaea radix";"extrait fluide rapport substance végétale/extrait = 1: 12-14 [végétal]";"_";true;false
"02013";"Thymi herba (droog extract)";"Thymi herba (extrait sec)";"Thymi herba";"droog extract Vulgaris L. - Zygis Loefl. ex L. (Ph.Eur.), Kruid, Droog Water Extract 7-13_1 [plantaardig]";"_";"Thymi herba";"extrait sec Vulgaris L. - Zygis Loefl. ex L. (Ph.Eur.), Herbe, Extrait Eau Sec 7-13_1 [végétal]";"_";true;false
"00695";"fenofibraat (nanopartikels)";"fénofibrate (nanoparticules)";"fenofibraat";"nanopartikels";"_";"fénofibrate";"nanoparticules";"_";true;false
"00718";"fingolimod hydrochloride";"fingolimod chlorhydrate";"fingolimod";"_";"hydrochloride";"fingolimod";"_";"chlorhydrate";true;false
"00766";"folinaat dinatrium";"folinate disodium";"folinaat";"_";"dinatrium";"folinate";"_";"disodium";true;false
"00795";"gadobeenzuur";"acide gadobénique";"gadobeenzuur";"_";"_";"acide gadobénique";"_";"_";true;false
"00800";"gadoteerzuur";"acide gadotérique";"gadoteerzuur";"_";"_";"acide gadotérique";"_";"_";true;false
"00801";"gadoteraat meglumine";"gadotérate méglumine";"gadoteraat";"_";"meglumine";"gadotérate";"_";"méglumine";true;false
"00144";"Atropa belladonna (tinctuur)";"Atropa belladonna (teinture)";"Atropa belladonna";"tinctuur [plantaardig]";"_";"Atropa belladonna";"teinture [végétal]";"_";true;false
"00416";"cloperastine hydrochloride";"clopérastine chlorhydrate";"cloperastine";"_";"hydrochloride";"clopérastine";"_";"chlorhydrate";true;false
"01717";"thiamfenicol glycinaatacetylcysteïnaat";"thiamphénicol glycinate acétylcystéinate";"thiamfenicol";"_";"glycinaatacetylcysteïnaat";"thiamphénicol";"_";"glycinate acétylcystéinate";true;false
"01725";"Thymus vulgaris (vloeibaar extract)";"Thymus vulgaris (extrait fluide)";"Thymus vulgaris";"vloeibaar extract kruid [plantaardig]";"_";"Thymus vulgaris";"extrait fluide herbe [végétal]";"_";true;false
"00418";"clopidogrel besilaat";"clopidogrel bésilate";"clopidogrel";"_";"besilaat";"clopidogrel";"_";"bésilate";true;false
"00820";"Ginkgo biloba (extract, EGb761)";"Ginkgo biloba (extrait, EGb761)";"Ginkgo biloba";"extract, EGb761 [plantaardig]";"_";"Ginkgo biloba";"extrait, EGb761 [végétal]";"_";true;false
"00121";"Arctostaphylos uva-ursi (droog extract met minimum 20% arbutine)";"Arctostaphylos uva-ursi (extrait sec avec minimum 20% d’arbutine)";"Arctostaphylos uva-ursi";"droog extract met minimum 20% arbutine blad [plantaardig]";"_";"Arctostaphylos uva-ursi";"extrait sec avec minimum 20% d’arbutine feuille [végétal]";"_";true;false
"00303";"Cassia senna (sennoside B)";"Cassia senna (sennoside B)";"Cassia senna";"sennoside B vrucht [plantaardig]";"_";"Cassia senna";"sennoside B fruit [végétal]";"_";true;false
"01912";"simeprevir natrium";"siméprévir sodium";"simeprevir";"_";"natrium";"siméprévir";"_";"sodium";true;false
"00519";"difenylpyraline hydrochloride";"diphénylpyraline chlorhydrate";"difenylpyraline";"_";"hydrochloride";"diphénylpyraline";"_";"chlorhydrate";true;false
"00856";"hexamidine diisetionaat";"hexamidine diisétionate";"hexamidine";"_";"diisetionaat";"hexamidine";"_";"diisétionate";true;false
"00857";"hexaminolevulinaat hydrochloride";"hexyl aminolévulinate chlorhydrate";"hexaminolevulinaat";"_";"hydrochloride";"hexyl aminolévulinate";"_";"chlorhydrate";true;false
"00502";"dexrazoxan hydrochloride";"dexrazoxane chlorhydrate";"dexrazoxan";"_";"hydrochloride";"dexrazoxane";"_";"chlorhydrate";true;false
"00160";"Bacillus Calmette-Guérin (stam Tice)";"Bacilles Calmette-Guérin (souche Tice)";"Bacillus Calmette-Guérin";"stam Tice [bacterieel, biologisch]";"_";"Bacilles Calmette-Guérin";"souche Tice [bactérien, biologique]";"_";true;false
"01906";"rifamycine";"rifamycine";"rifamycine";"_";"_";"rifamycine";"_";"_";true;false
"00159";"Bacillus Calmette-Guérin (stam RIVM)";"Bacilles Calmette-Guérin (souche RIVM)";"Bacillus Calmette-Guérin";"stam RIVM [bacterieel, biologisch]";"_";"Bacilles Calmette-Guérin";"souche RIVM [bactérien, biologique]";"_";true;false
"00302";"Cassia senna (blad)";"Cassia senna (feuille)";"Cassia senna";"blad [plantaardig]";"_";"Cassia senna";"feuille [végétal]";"_";true;false
