"mppcv";"Stofcv";"ppid";"hyr_";"hyrcv_";"mpcv_";"mppnm_";"ppq";"ppgal";"InRank";"StofNm_";"Dim";"InX";"InQ";"InU";"Add";"InBasQ";"InBasU";"InQ2";"InU2";"Amb";"Hosp"
"2672244";"01990";"1";"OMEA";"0014811";"3244-2261";"Biatain pansement Non adhésif 5x (10x20cm)";0;"pansement Non adhésif";1;"pas de principes actifs";"10 x 20 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2672251";"01990";"1";"OMEA";"0014811";"3244-2261";"Biatain pansement Non adhésif 10x (10x10cm)";0;"pansement Non adhésif";1;"pas de principes actifs";"10 x 10 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2672285";"01990";"1";"OMEA";"0014811";"3244-2261";"Biatain pansement Non adhésif 10x (5x7cm)";0;"pansement Non adhésif";1;"pas de principes actifs";"5 x 7 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3048873";"01990";"1";"OMEA";"0014811";"28043-1917";"Urgostart pansement 5x (15x20cm)";0;"pansement";1;"pas de principes actifs";"15 x 20 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3117108";"01990";"1";"OMEA";"0014811";"1065-1750";"Allevyn pansement Life Heel 5x (25x25,2cm)";0;"pansement Life Heel";1;"pas de principes actifs";"25 x 25,2 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3117082";"01990";"1";"OMEA";"0014811";"1065-1750";"Allevyn pansement Life Sacrum 10x (17,2x17,5cm)";0;"pansement Life Sacrum";1;"pas de principes actifs";"17,2 x 17,5 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3433703";"01205";"1";"DAFA";"0003806";"17731-885";"Montelukast Teva (Impexeco) compr. à croquer 98x 4mg";0;"compr. à croquer";1;"montélukast";"_";"_";4.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3377306";"00634";"1";"JCAAB";"0008177";"9449-885";"Escitalopram Sandoz (Impexeco) compr. pellic. (séc.) 56x 10mg";0;"compr. pellic. (séc.)";1;"escitalopram";"_";"_";10.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"2988236";"01990";"1";"OMFA";"0014837";"31997-1917";"Urgotul pansement 3x (10x10cm)";0;"pansement";1;"pas de principes actifs";"10 x 10 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2988244";"01990";"1";"OMFA";"0014837";"31997-1917";"Urgotul pansement 10x (10x10cm)";0;"pansement";1;"pas de principes actifs";"10 x 10 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2988269";"01990";"1";"OMFA";"0014837";"31997-1917";"Urgotul pansement 10x (15x20cm)";0;"pansement";1;"pas de principes actifs";"15 x 20 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2186807";"01990";"1";"OMDA";"0014795";"32169-2402";"L-Mesitran pansement Border 5x (10x10cm)";0;"pansement Border";1;"pas de principes actifs";"10 x 10 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3174141";"01613";"1";"CCBA";"0002766";"14795-885";"Legalon (Impexeco) gél. 60x 140mg";0;"gél.";1;"Silybum marianum (silymarin)";"_";"_";140.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3479011";"02151";"1";"TCA";"0016485";"33258-2048";"Orkambi 200/125 compr. pellic. 112x";0;"compr. pellic.";1;"lumacaftor";"_";"_";200.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3479011";"01897";"1";"TCA";"0016485";"33258-2048";"Orkambi 200/125 compr. pellic. 112x";0;"compr. pellic.";2;"ivacaftor";"_";"_";125.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3376118";"02099";"1";"RBC";"0016147";"32862-67";"Lidocaine Accord sol. inj. [amp.] 20x10ml 10mg/1ml";0;"sol. inj. i.m./i.v./p.dural/p.neur. [amp., infiltr. locorégionale]";1;"lidocaïne chlorhydrate";"_";"_";10.0000;"mg";"/";1.0000;"ml";0.0000;"_";true;false
"3060498";"01037";"1";"JFFA";"0008698";"25122-1529";"Stalevo (PIP) 50/12,5/200 compr. pellic. 100x";0;"compr. pellic.";1;"lévodopa";"_";"_";50.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3060498";"00290";"1";"JFFA";"0008698";"25122-1529";"Stalevo (PIP) 50/12,5/200 compr. pellic. 100x";0;"compr. pellic.";2;"carbidopa";"_";"_";12.5000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3060498";"00601";"1";"JFFA";"0008698";"25122-1529";"Stalevo (PIP) 50/12,5/200 compr. pellic. 100x";0;"compr. pellic.";3;"entacapone";"_";"_";200.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3259983";"01056";"1";"AGAE";"0000943";"15420-1529";"Lisinopril EG (PIP) compr. (séc. en 4) 56x 20mg";0;"compr. (séc. en 4)";1;"lisinopril";"_";"_";20.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3151156";"01158";"1";"JDC";"0008334";"23408-1529";"Rilatine (PIP) compr. (séc.) 20x 10mg";0;"compr. (séc.)";1;"méthylphénidate chlorhydrate";"_";"_";10.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3434792";"02071";"1";"ALAA";"0001552";"2451-885";"Atorvastatine Teva (Impexeco) compr. pellic. 100x 40mg";0;"compr. pellic.";1;"atorvastatine";"_";"_";40.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"2988160";"01990";"1";"OMEA";"0014811";"32144-1917";"Urgotul Lite pansement 16x (13x12cm)";0;"pansement";1;"pas de principes actifs";"13 x 12 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3272382";"01990";"1";"OMFA";"0014837";"32839-2477";"Spycra Contact pansement 10x (5x7,5cm)";0;"pansement";1;"pas de principes actifs";"5 x 7,5 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3272556";"01990";"1";"OMFA";"0014837";"32839-2477";"Spycra Contact pansement 5x (10x18cm)";0;"pansement";1;"pas de principes actifs";"10 x 18 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3272564";"01990";"1";"OMFA";"0014837";"32839-2477";"Spycra Contact pansement 3x (18x30cm)";0;"pansement";1;"pas de principes actifs";"18 x 30 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2970721";"01990";"1";"OMFA";"0014837";"32847-2477";"Spycra Protect pansement 10x (5x7,5cm)";0;"pansement";1;"pas de principes actifs";"5 x 7,5 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"0315523";"01441";"1";"OAAL";"0013847";"3608-265";"Braunoderm 9,1/455 sol. spray cut. (alc.) 250ml";0;"sol. spray cut. (alc.)";1;"povidone iodée";"_";"_";9.1000;"mg";"/";1.0000;"ml";0.0000;"_";true;false
"0315523";"00955";"1";"OAAL";"0013847";"3608-265";"Braunoderm 9,1/455 sol. spray cut. (alc.) 250ml";0;"sol. spray cut. (alc.)";2;"isopropanol";"_";"_";455.0000;"mg";"/";1.0000;"ml";0.0000;"_";true;false
"3326071";"01673";"1";"GBAC";"0006213";"25841-885";"Tamsulosine Teva (Impexeco) gél. lib. modif. 200x 0,4mg";0;"gél. lib. modif.";1;"tamsulosine chlorhydrate";"_";"_";0.4000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3163128";"00640";"1";"FCBAA";"0005702";"398-885";"Activelle (Impexeco) 1/0,5 compr. pellic. 3x28";0;"compr. pellic.";1;"estradiol";"_";"_";1.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3163128";"01289";"1";"FCBAA";"0005702";"398-885";"Activelle (Impexeco) 1/0,5 compr. pellic. 3x28";0;"compr. pellic.";2;"noréthistérone acétate";"_";"_";0.5000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3350402";"01451";"1";"JAAT";"0007674";"16055-885";"Lysanxia (Impexeco) compr. (séc.) 50x 10mg";0;"compr. (séc.)";1;"prazépam";"_";"_";10.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3203403";"01094";"1";"KCAA";"0010561";"28662-885";"Vermox (Impexeco) compr. (séc.) 6x 100mg";0;"compr. (séc.)";1;"mébendazole";"_";"_";100.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"0900050";"00649";"1";"OAAG";"0025346";"32714-489";"Ethanol Dénaturé Conforma sol. cut. (alc.) 70% 250ml";0;"sol. cut. (alc.) 70%";1;"éthanol";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3146263";"02044";"1";"LCBOA";"0025239";"32185-935";"Sylvant sol. perf. à diluer (pdr) i.v. [flac.] 1x 100mg";0;"sol. perf. à diluer (pdr) i.v. [flac.]";1;"siltuximab";"_";"_";100.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3146271";"02044";"1";"LCBOA";"0025239";"32185-935";"Sylvant sol. perf. à diluer (pdr) i.v. [flac.] 1x 400mg";0;"sol. perf. à diluer (pdr) i.v. [flac.]";1;"siltuximab";"_";"_";400.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"0681262";"01990";"1";"OMBA";"0014753";"8433-2253";"Duoderm E pansement 3x (20x20cm)";0;"pansement";1;"pas de principes actifs";"20 x 20 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"1543925";"01990";"1";"OMBA";"0014753";"28027-1917";"Urgomed pansement 5x (5x7cm)";0;"pansement";1;"pas de principes actifs";"5 x 7 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"1544451";"01990";"1";"OMAA";"0014738";"25528-2295";"Suprasorb A pansement 10x (10x10cm)";0;"pansement";1;"pas de principes actifs";"10 x 10 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"1544501";"01990";"1";"OMBA";"0014753";"25551-2295";"Suprasorb H pansement 5x (20x20cm)";0;"pansement";1;"pas de principes actifs";"20 x 20 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"1544527";"01990";"1";"OMBA";"0014753";"25551-2295";"Suprasorb H pansement Fin 10x (5x20cm)";0;"pansement Fin";1;"pas de principes actifs";"5 x 20 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"1544550";"01990";"1";"OMBA";"0014753";"25551-2295";"Suprasorb H pansement Fin 5x (20x20cm)";0;"pansement Fin";1;"pas de principes actifs";"20 x 20 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2980175";"00703";"1";"HCAB";"0006601";"8755-1818";"Effentora compr. bucc. 28x 100µg";0;"compr. bucc.";1;"fentanyl";"_";"_";100.0000;"µg";"_";0.0000;"_";0.0000;"_";true;false
"2980183";"00703";"1";"HCAB";"0006601";"8755-1818";"Effentora compr. bucc. 28x 200µg";0;"compr. bucc.";1;"fentanyl";"_";"_";200.0000;"µg";"_";0.0000;"_";0.0000;"_";true;false
"2980191";"00703";"1";"HCAB";"0006601";"8755-1818";"Effentora compr. bucc. 28x 400µg";0;"compr. bucc.";1;"fentanyl";"_";"_";400.0000;"µg";"_";0.0000;"_";0.0000;"_";true;false
"2980209";"00703";"1";"HCAB";"0006601";"8755-1818";"Effentora compr. bucc. 28x 600µg";0;"compr. bucc.";1;"fentanyl";"_";"_";600.0000;"µg";"_";0.0000;"_";0.0000;"_";true;false
"2980217";"00703";"1";"HCAB";"0006601";"8755-1818";"Effentora compr. bucc. 28x 800µg";0;"compr. bucc.";1;"fentanyl";"_";"_";800.0000;"µg";"_";0.0000;"_";0.0000;"_";true;false
"0316331";"01050";"1";"RBE";"0021014";"31286-2337";"Lignospan 20/12,5 sol. inj. [cart.] 50x1,8ml";0;"sol. inj. oromuq./s.muq. [cart.]";1;"lidocaïne chlorhydrate";"_";"_";20.0000;"mg";"/";1.0000;"ml";0.0000;"_";true;false
"0316331";"00609";"1";"RBE";"0021014";"31286-2337";"Lignospan 20/12,5 sol. inj. [cart.] 50x1,8ml";0;"sol. inj. oromuq./s.muq. [cart.]";2;"épinéphrine";"_";"_";12.5000;"µg";"/";1.0000;"ml";0.0000;"_";true;false
"2408193";"01990";"1";"OMAA";"0014738";"935-1750";"Algisite M pansement 3x (15x15cm)";0;"pansement";1;"pas de principes actifs";"15 x 15 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3073129";"01556";"1";"JKAC";"0018689";"23556-1818";"Rivastigmine Teva dispositif transderm. 30x 9,5mg/24h";0;"dispositif transderm.";1;"rivastigmine";"_";"_";9.5000;"mg";"/";24.0000;"h";0.0000;"_";true;false
"2408425";"01990";"1";"OMGA";"0014852";"4408-1750";"Carbonet pansement 10x (10x10cm)";0;"pansement";1;"pas de principes actifs";"10 x 10 cm";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2480374";"01990";"1";"OMDA";"0014795";"6718-2238";"Curafil gel 1x28g";0;"gel";1;"pas de principes actifs";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"0316349";"01130";"1";"RBE";"0021014";"31310-2337";"Scandonest sol. inj. Sans Vasoconstricteur [cart.] 50x1,8ml 30mg/1ml";0;"sol. inj. oromuq./s.muq. Sans Vasoconstricteur [cart.]";1;"mépivacaïne chlorhydrate";"_";"_";30.0000;"mg";"/";1.0000;"ml";0.0000;"_";true;false
"1711886";"01049";"1";"RBD";"0021006";"31443-2337";"Xylonor 50/1,5 tampon impr. Pellets 200x";0;"tampon impr. gingiv./oromuq. Pellets";1;"lidocaïne";"_";"_";50.0000;"mg";"/";1.0000;"g";0.0000;"_";true;false
"1711886";"00328";"1";"RBD";"0021006";"31443-2337";"Xylonor 50/1,5 tampon impr. Pellets 200x";0;"tampon impr. gingiv./oromuq. Pellets";2;"cétrimide";"_";"_";1.5000;"mg";"/";1.0000;"g";0.0000;"_";true;false
"0900001";"01049";"1";"RBD";"0021006";"31427-2345";"Oraqix 25/25 gel p.odont. [cart.] 20x1,7g";0;"gel p.odont. [cart.]";1;"lidocaïne";"_";"_";25.0000;"mg";"/";1.0000;"g";0.0000;"_";true;false
"0900001";"01459";"1";"RBD";"0021006";"31427-2345";"Oraqix 25/25 gel p.odont. [cart.] 20x1,7g";0;"gel p.odont. [cart.]";2;"prilocaïne";"_";"_";25.0000;"mg";"/";1.0000;"g";0.0000;"_";true;false
"3196094";"02015";"1";"RBE";"0021014";"31344-2345";"Ubistesin Adrenaline 40/10 sol. inj. dent. [cart.] 50x1,7ml";0;"sol. inj. dent. [cart.]";1;"articaïne chlorhydrate";"_";"_";40.0000;"mg";"/";1.0000;"ml";0.0000;"_";true;false
"3196094";"00608";"1";"RBE";"0021014";"31344-2345";"Ubistesin Adrenaline 40/10 sol. inj. dent. [cart.] 50x1,7ml";0;"sol. inj. dent. [cart.]";2;"épinéphrine";"_";"_";10.0000;"µg";"/";1.0000;"ml";0.0000;"_";true;false
"3196102";"02015";"1";"RBE";"0021014";"31344-2345";"Ubistesin Adrenaline 40/5 sol. inj. dent. [cart.] 50x1,7ml";0;"sol. inj. dent. [cart.]";1;"articaïne chlorhydrate";"_";"_";40.0000;"mg";"/";1.0000;"ml";0.0000;"_";true;false
"3196102";"00608";"1";"RBE";"0021014";"31344-2345";"Ubistesin Adrenaline 40/5 sol. inj. dent. [cart.] 50x1,7ml";0;"sol. inj. dent. [cart.]";2;"épinéphrine";"_";"_";5.0000;"µg";"/";1.0000;"ml";0.0000;"_";true;false
"0900035";"02018";"1";"RBD";"0021006";"31419-2378";"Hurricaine gel 28,5g 200mg/1g";0;"gel gingiv./oromuq.";1;"benzocaïne";"_";"_";200.0000;"mg";"/";1.0000;"g";0.0000;"_";true;false
"3078169";"01314";"1";"CAABC";"0002576";"19836-2485";"Omeprazol AB gél. gastro-résist. 28x 40mg";0;"gél. gastro-résist.";1;"oméprazole";"_";"_";40.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3078144";"01314";"1";"CAABC";"0002576";"19836-2485";"Omeprazol AB gél. gastro-résist. 28x 20mg";0;"gél. gastro-résist.";1;"oméprazole";"_";"_";20.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3164241";"00888";"1";"IAABB";"0006866";"19471-885";"Nurofen (Impexeco) compr. enr. 30x 400mg";0;"compr. enr.";1;"ibuprofène";"_";"_";400.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3143658";"00247";"1";"JAAC";"0007500";"14845-885";"Lendormin (Impexeco) compr. (séc.) 30x 0,25mg";0;"compr. (séc.)";1;"brotizolam";"_";"_";0.2500;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3463270";"02309";"1";"JDB";"0026179";"33704-1727";"Intuniv compr. lib. prol. 28x 1mg";0;"compr. lib. prol.";1;"guanfacine";"_";"_";1.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"1152743";"00813";"1";"LAALA";"0011486";"25130-2097";"Stamaril susp. inj. (pdr+solv.) [flac.+ser. préremplie] 1dos.";0;"susp. inj. (pdr + solv.) i.m./s.c. [flac. + ser. préremplie]";1;"virus de la fièvre jaune (vivants atténués)";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"0033423";"01180";"1";"OBEB";"0014340";"7021-943";"Daktacort 20/10 crème 15g";0;"crème";1;"miconazole nitrate";"_";"_";20.0000;"mg";"/";1.0000;"g";0.0000;"_";true;false
"0033423";"00867";"1";"OBEB";"0014340";"7021-943";"Daktacort 20/10 crème 15g";0;"crème";2;"hydrocortisone";"_";"_";10.0000;"mg";"/";1.0000;"g";0.0000;"_";true;false
"3412632";"01397";"1";"AADI";"0020628";"27581-885";"Triplixam (Impexeco) 10/2,5/5 compr. pellic. 90x";0;"compr. pellic.";1;"périndopril arginine";"_";"_";10.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3412632";"00920";"1";"AADI";"0020628";"27581-885";"Triplixam (Impexeco) 10/2,5/5 compr. pellic. 90x";0;"compr. pellic.";2;"indapamide";"_";"_";2.5000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3412632";"00094";"1";"AADI";"0020628";"27581-885";"Triplixam (Impexeco) 10/2,5/5 compr. pellic. 90x";0;"compr. pellic.";3;"amlodipine";"_";"_";5.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"2324911";"00227";"1";"LACAA";"0018358";"16113-1263";"M.M.R. VaxPro susp. inj. (pdr+solv.) [flac.+ser. préremplie] 1dos.";0;"susp. inj. (pdr + solv.) i.m./s.c. [flac. + ser. préremplie]";1;"virus des oreillons (vivants atténués)";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2324911";"01093";"1";"LACAA";"0018358";"16113-1263";"M.M.R. VaxPro susp. inj. (pdr+solv.) [flac.+ser. préremplie] 1dos.";0;"susp. inj. (pdr + solv.) i.m./s.c. [flac. + ser. préremplie]";2;"virus de la rougeole (vivants atténués)";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2324911";"01575";"1";"LACAA";"0018358";"16113-1263";"M.M.R. VaxPro susp. inj. (pdr+solv.) [flac.+ser. préremplie] 1dos.";0;"susp. inj. (pdr + solv.) i.m./s.c. [flac. + ser. préremplie]";3;"virus de la rubéole (vivants atténués)";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2476083";"01102";"1";"FBBBA";"0018192";"24059-1446";"Sayana susp. inj. s.c. [ser. préremplie] 1x 104mg/0,65ml";0;"susp. inj. s.c. [ser. préremplie]";1;"médroxyprogestérone acétate";"_";"_";104.0000;"mg";"/";0.6500;"ml";0.0000;"_";true;false
"2716884";"01786";"1";"ECFD";"0005892";"11932-661";"Gonapeptyl sol. inj. s.c. Daily [ser. préremplie] 7x 0,1mg/1ml";0;"sol. inj. s.c. Daily [ser. préremplie]";1;"triptoréline";"_";"_";0.1000;"mg";"/";1.0000;"ml";0.0000;"_";true;false
"3377322";"00634";"1";"JCAAB";"0008177";"9449-885";"Escitalopram Sandoz (Impexeco) compr. pellic. (séc.) 56x 20mg";0;"compr. pellic. (séc.)";1;"escitalopram";"_";"_";20.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3050176";"00230";"1";"LACIA";"0018481";"12328-2097";"Hexyon susp. inj. i.m. [ser. préremplie] 1x0,5ml";0;"susp. inj. i.m. [ser. préremplie]";1;"Bordetella pertussis (antigènes)";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3050176";"00522";"1";"LACIA";"0018481";"12328-2097";"Hexyon susp. inj. i.m. [ser. préremplie] 1x0,5ml";0;"susp. inj. i.m. [ser. préremplie]";2;"anatoxine diphtérique";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3050176";"00845";"1";"LACIA";"0018481";"12328-2097";"Hexyon susp. inj. i.m. [ser. préremplie] 1x0,5ml";0;"susp. inj. i.m. [ser. préremplie]";3;"Haemophilus influenzae type b (polysaccharides, conjugué)";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3050176";"00855";"1";"LACIA";"0018481";"12328-2097";"Hexyon susp. inj. i.m. [ser. préremplie] 1x0,5ml";0;"susp. inj. i.m. [ser. préremplie]";4;"virus de l'hépatite B (antigènes de surface)";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3050176";"01432";"1";"LACIA";"0018481";"12328-2097";"Hexyon susp. inj. i.m. [ser. préremplie] 1x0,5ml";0;"susp. inj. i.m. [ser. préremplie]";5;"virus de la poliomyélite types I, II, III (inactivés)";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3050176";"01706";"1";"LACIA";"0018481";"12328-2097";"Hexyon susp. inj. i.m. [ser. préremplie] 1x0,5ml";0;"susp. inj. i.m. [ser. préremplie]";6;"anatoxine tétanique";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"2446680";"01207";"1";"HCAG";"0006593";"17772-1784";"Morphine HCL Sterop sol. inj./perf. [amp.] 10x 20mg/1ml";0;"sol. inj./perf. i.m./i.v./s.c./i.théc./p.dural [amp.]";1;"morphine chlorhydrate";"_";"_";20.0000;"mg";"/";1.0000;"ml";0.0000;"_";true;false
"3377330";"00634";"1";"JCAAB";"0008177";"9449-885";"Escitalopram Sandoz (Impexeco) compr. pellic. (séc.) 98x 20mg";0;"compr. pellic. (séc.)";1;"escitalopram";"_";"_";20.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3096872";"01363";"1";"HBAA";"0006437";"976-1743";"Algostase Mono compr. (séc.) 90x 1 g [flacon]";0;"compr. (séc.)";1;"paracétamol";"_";"_";1.0000;"g";"_";0.0000;"_";0.0000;"_";true;false
"3091246";"01947";"1";"EAHA";"0020701";"13292-935";"Invokana compr. pellic. 30x 300mg";0;"compr. pellic.";1;"canagliflozine";"_";"_";300.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3096898";"01363";"1";"HBAA";"0006437";"976-1743";"Algostase Mono compr. (séc.) 100x 500mg";0;"compr. (séc.)";1;"paracétamol";"_";"_";500.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3328622";"00649";"1";"OAAG";"0025346";"33043-2451";"Ethanol VWR sol. cut. (alc.) 96% 5l";0;"sol. cut. (alc.) 96%";1;"éthanol";"_";"_";0.0000;"_";"_";0.0000;"_";0.0000;"_";true;false
"3429644";"02067";"1";"JFDA";"0008631";"33183-612";"Rasagiline EG compr. pellic. 112x 1mg";0;"compr. pellic.";1;"rasagiline";"_";"_";1.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
"3435195";"01397";"1";"AADI";"0020628";"27581-885";"Triplixam (Impexeco) 10/2,5/10 compr. pellic. 90x";0;"compr. pellic.";1;"périndopril arginine";"_";"_";10.0000;"mg";"_";0.0000;"_";0.0000;"_";true;false
