"Mppcv";"Mppnm_";"Link2MPG";"Link2PVT"
"3151156";"Rilatine (PIP) tabl. (deelb.) 20 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=132811";"http://www.bcfi.be/nl/contents/jump?amppid=132811&view=pvt"
"3434792";"Atorvastatine Teva (Impexeco) filmomh. tabl. 100 x 40 mg";"http://www.bcfi.be/nl/contents/jump?amppid=133439";"http://www.bcfi.be/nl/contents/jump?amppid=133439&view=pvt"
"2988160";"Urgotul Lite verband 16 x (13 x 12 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=130260";"http://www.bcfi.be/nl/contents/jump?amppid=130260&view=pvt"
"3272382";"Spycra Contact verband 10 x (5 x 7,5 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=133124";"http://www.bcfi.be/nl/contents/jump?amppid=133124&view=pvt"
"3272556";"Spycra Contact verband 5 x (10 x 18 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=133140";"http://www.bcfi.be/nl/contents/jump?amppid=133140&view=pvt"
"3272564";"Spycra Contact verband 3 x (18 x 30 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=133157";"http://www.bcfi.be/nl/contents/jump?amppid=133157&view=pvt"
"2970721";"Spycra Protect verband 10 x (5 x 7,5 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=133165";"http://www.bcfi.be/nl/contents/jump?amppid=133165&view=pvt"
"0315523";"Braunoderm 9,1/455 cut. spray oploss. (alc.) 250 ml";"http://www.bcfi.be/nl/contents/jump?amppid=11981";"http://www.bcfi.be/nl/contents/jump?amppid=11981&view=pvt"
"3326071";"Tamsulosine Teva (Impexeco) harde caps. geregul. afgifte 200 x 0,4 mg";"http://www.bcfi.be/nl/contents/jump?amppid=133611";"http://www.bcfi.be/nl/contents/jump?amppid=133611&view=pvt"
"3163128";"Activelle (Impexeco) 1/0,5 filmomh. tabl. 3 x 28";"http://www.bcfi.be/nl/contents/jump?amppid=133587";"http://www.bcfi.be/nl/contents/jump?amppid=133587&view=pvt"
"3350402";"Lysanxia (Impexeco) tabl. (deelb.) 50 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=133751";"http://www.bcfi.be/nl/contents/jump?amppid=133751&view=pvt"
"0900050";"Ethanol Gedenatureerd Conforma 70 % cut. oploss. (alc.) 250 ml";"http://www.bcfi.be/nl/contents/jump?amppid=132944";"http://www.bcfi.be/nl/contents/jump?amppid=132944&view=pvt"
"3203403";"Vermox (Impexeco) tabl. (deelb.) 6 x 100 mg";"http://www.bcfi.be/nl/contents/jump?amppid=133801";"http://www.bcfi.be/nl/contents/jump?amppid=133801&view=pvt"
"3146263";"Sylvant inf. oploss. conc. (pdr.) i.v. [flac.] 1 x 100 mg";"http://www.bcfi.be/nl/contents/jump?amppid=130658";"http://www.bcfi.be/nl/contents/jump?amppid=130658&view=pvt"
"3146271";"Sylvant inf. oploss. conc. (pdr.) i.v. [flac.] 1 x 400 mg";"http://www.bcfi.be/nl/contents/jump?amppid=130641";"http://www.bcfi.be/nl/contents/jump?amppid=130641&view=pvt"
"0681262";"Duoderm E verband 3 x (20 x 20 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=102913";"http://www.bcfi.be/nl/contents/jump?amppid=102913&view=pvt"
"1543925";"Urgomed verband 5 x (5 x 7 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=103689";"http://www.bcfi.be/nl/contents/jump?amppid=103689&view=pvt"
"1544451";"Suprasorb A verband 10 x (10 x 10 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=103713";"http://www.bcfi.be/nl/contents/jump?amppid=103713&view=pvt"
"1544501";"Suprasorb H verband 5 x (20 x 20 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=103754";"http://www.bcfi.be/nl/contents/jump?amppid=103754&view=pvt"
"1544527";"Suprasorb H verband Fijn 10 x (5 x 20 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=103770";"http://www.bcfi.be/nl/contents/jump?amppid=103770&view=pvt"
"1544550";"Suprasorb H verband Fijn 5 x (20 x 20 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=103804";"http://www.bcfi.be/nl/contents/jump?amppid=103804&view=pvt"
"2980175";"Effentora bucc. tabl. 28 x 100 µg";"http://www.bcfi.be/nl/contents/jump?amppid=72934";"http://www.bcfi.be/nl/contents/jump?amppid=72934&view=pvt"
"2980183";"Effentora bucc. tabl. 28 x 200 µg";"http://www.bcfi.be/nl/contents/jump?amppid=72942";"http://www.bcfi.be/nl/contents/jump?amppid=72942&view=pvt"
"2980191";"Effentora bucc. tabl. 28 x 400 µg";"http://www.bcfi.be/nl/contents/jump?amppid=72959";"http://www.bcfi.be/nl/contents/jump?amppid=72959&view=pvt"
"2980209";"Effentora bucc. tabl. 28 x 600 µg";"http://www.bcfi.be/nl/contents/jump?amppid=72967";"http://www.bcfi.be/nl/contents/jump?amppid=72967&view=pvt"
"2980217";"Effentora bucc. tabl. 28 x 800 µg";"http://www.bcfi.be/nl/contents/jump?amppid=72975";"http://www.bcfi.be/nl/contents/jump?amppid=72975&view=pvt"
"0316331";"Lignospan 20/12,5 inj. oploss. oromuc./s.mucos. [patr.] 50 x 1,8 ml";"http://www.bcfi.be/nl/contents/jump?amppid=124347";"http://www.bcfi.be/nl/contents/jump?amppid=124347&view=pvt"
"2408193";"Algisite M verband 3 x (15 x 15 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=105502";"http://www.bcfi.be/nl/contents/jump?amppid=105502&view=pvt"
"3073129";"Rivastigmine Teva transderm. pleister 30 x 9,5 mg / 24 u";"http://www.bcfi.be/nl/contents/jump?amppid=107755";"http://www.bcfi.be/nl/contents/jump?amppid=107755&view=pvt"
"2408425";"Carbonet verband 10 x (10 x 10 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=105718";"http://www.bcfi.be/nl/contents/jump?amppid=105718&view=pvt"
"2480374";"Curafil gel 1 x 28 g";"http://www.bcfi.be/nl/contents/jump?amppid=106294";"http://www.bcfi.be/nl/contents/jump?amppid=106294&view=pvt"
"0316349";"Scandonest inj. oploss. oromuc./s.mucos. Zonder Vaatvernauwer [patr.] 50 x 1,8 ml 30 mg / 1 ml";"http://www.bcfi.be/nl/contents/jump?amppid=124354";"http://www.bcfi.be/nl/contents/jump?amppid=124354&view=pvt"
"1711886";"Xylonor 50/1,5 gingiv./oromuc. geïmpr. wattenschijfjes Pellets 200 x";"http://www.bcfi.be/nl/contents/jump?amppid=124628";"http://www.bcfi.be/nl/contents/jump?amppid=124628&view=pvt"
"0900001";"Oraqix 25/25 p.odont. gel [patr.] 20 x 1,7 g";"http://www.bcfi.be/nl/contents/jump?amppid=124438";"http://www.bcfi.be/nl/contents/jump?amppid=124438&view=pvt"
"3196094";"Ubistesin Adrenaline 40/10 inj. oploss. dent. [patr.] 50 x 1,7 ml";"http://www.bcfi.be/nl/contents/jump?amppid=125872";"http://www.bcfi.be/nl/contents/jump?amppid=125872&view=pvt"
"3196102";"Ubistesin Adrenaline 40/5 inj. oploss. dent. [patr.] 50 x 1,7 ml";"http://www.bcfi.be/nl/contents/jump?amppid=125880";"http://www.bcfi.be/nl/contents/jump?amppid=125880&view=pvt"
"0900035";"Hurricaine gingiv./oromuc. gel 28,5 g 200 mg / 1 g";"http://www.bcfi.be/nl/contents/jump?amppid=124446";"http://www.bcfi.be/nl/contents/jump?amppid=124446&view=pvt"
"3078169";"Omeprazol AB harde maagsapresist. caps. 28 x 40 mg";"http://www.bcfi.be/nl/contents/jump?amppid=107862";"http://www.bcfi.be/nl/contents/jump?amppid=107862&view=pvt"
"3078144";"Omeprazol AB harde maagsapresist. caps. 28 x 20 mg";"http://www.bcfi.be/nl/contents/jump?amppid=107854";"http://www.bcfi.be/nl/contents/jump?amppid=107854&view=pvt"
"3164241";"Nurofen (Impexeco) omh. tabl. 30 x 400 mg";"http://www.bcfi.be/nl/contents/jump?amppid=133652";"http://www.bcfi.be/nl/contents/jump?amppid=133652&view=pvt"
"3143658";"Lendormin (Impexeco) tabl. (deelb.) 30 x 0,25 mg";"http://www.bcfi.be/nl/contents/jump?amppid=133744";"http://www.bcfi.be/nl/contents/jump?amppid=133744&view=pvt"
"3463270";"Intuniv tabl. verl. afgifte 28 x 1 mg";"http://www.bcfi.be/nl/contents/jump?amppid=138628";"http://www.bcfi.be/nl/contents/jump?amppid=138628&view=pvt"
"1152743";"Stamaril inj. susp. (pdr. + solv.) i.m./s.c. [flac. + voorgev. spuit] 1 dos.";"http://www.bcfi.be/nl/contents/jump?amppid=14837";"http://www.bcfi.be/nl/contents/jump?amppid=14837&view=pvt"
"0033423";"Daktacort 20/10 crème 15 g";"http://www.bcfi.be/nl/contents/jump?amppid=976";"http://www.bcfi.be/nl/contents/jump?amppid=976&view=pvt"
"3412632";"Triplixam (Impexeco) 10/2,5/5 filmomh. tabl. 90 x";"http://www.bcfi.be/nl/contents/jump?amppid=133496";"http://www.bcfi.be/nl/contents/jump?amppid=133496&view=pvt"
"2324911";"M.M.R. VaxPro inj. susp. (pdr. + solv.) i.m./s.c. [flac. + voorgev. spuit] 1 dos.";"http://www.bcfi.be/nl/contents/jump?amppid=39768";"http://www.bcfi.be/nl/contents/jump?amppid=39768&view=pvt"
"2476083";"Sayana inj. susp. s.c. [voorgev. spuit] 1 x 104 mg / 0,65 ml";"http://www.bcfi.be/nl/contents/jump?amppid=44826";"http://www.bcfi.be/nl/contents/jump?amppid=44826&view=pvt"
"2716884";"Gonapeptyl inj. oploss. s.c. Daily [voorgev. spuit] 7 x 0,1 mg / 1 ml";"http://www.bcfi.be/nl/contents/jump?amppid=55392";"http://www.bcfi.be/nl/contents/jump?amppid=55392&view=pvt"
"3377322";"Escitalopram Sandoz (Impexeco) filmomh. tabl. (deelb.) 56 x 20 mg";"http://www.bcfi.be/nl/contents/jump?amppid=133728";"http://www.bcfi.be/nl/contents/jump?amppid=133728&view=pvt"
"3050176";"Hexyon inj. susp. i.m. [voorgev. spuit] 1 x 0,5 ml";"http://www.bcfi.be/nl/contents/jump?amppid=118539";"http://www.bcfi.be/nl/contents/jump?amppid=118539&view=pvt"
"2446680";"Morphine HCL Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 10 x 20 mg / 1 ml";"http://www.bcfi.be/nl/contents/jump?amppid=66217";"http://www.bcfi.be/nl/contents/jump?amppid=66217&view=pvt"
"3377330";"Escitalopram Sandoz (Impexeco) filmomh. tabl. (deelb.) 98 x 20 mg";"http://www.bcfi.be/nl/contents/jump?amppid=133736";"http://www.bcfi.be/nl/contents/jump?amppid=133736&view=pvt"
"3096872";"Algostase Mono tabl. (deelb.) 90 x 1 g [flacon]";"http://www.bcfi.be/nl/contents/jump?amppid=126086";"http://www.bcfi.be/nl/contents/jump?amppid=126086&view=pvt"
"3091246";"Invokana filmomh. tabl. 30 x 300 mg";"http://www.bcfi.be/nl/contents/jump?amppid=108050";"http://www.bcfi.be/nl/contents/jump?amppid=108050&view=pvt"
"3096898";"Algostase Mono tabl. (deelb.) 100 x 500 mg [flacon]";"http://www.bcfi.be/nl/contents/jump?amppid=126094";"http://www.bcfi.be/nl/contents/jump?amppid=126094&view=pvt"
"3328622";"Ethanol VWR 96 % cut. oploss. (alc.) 5 l";"http://www.bcfi.be/nl/contents/jump?amppid=134346";"http://www.bcfi.be/nl/contents/jump?amppid=134346&view=pvt"
"3429644";"Rasagiline EG filmomh. tabl. 112 x 1 mg";"http://www.bcfi.be/nl/contents/jump?amppid=134619";"http://www.bcfi.be/nl/contents/jump?amppid=134619&view=pvt"
"3435195";"Triplixam (Impexeco) 10/2,5/10 filmomh. tabl. 90 x";"http://www.bcfi.be/nl/contents/jump?amppid=135541";"http://www.bcfi.be/nl/contents/jump?amppid=135541&view=pvt"
"3426475";"Anafranil (Impexeco) tabl. verl. afgifte (deelb.) Retard Divitabs 42 x 75 mg";"http://www.bcfi.be/nl/contents/jump?amppid=133694";"http://www.bcfi.be/nl/contents/jump?amppid=133694&view=pvt"
"1508142";"Intrasite gel 10 x 25 g";"http://www.bcfi.be/nl/contents/jump?amppid=103523";"http://www.bcfi.be/nl/contents/jump?amppid=103523&view=pvt"
"2975910";"Suprasorb P verband Zelfklevend 5 x (15 x 20 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=129734";"http://www.bcfi.be/nl/contents/jump?amppid=129734&view=pvt"
"3121191";"Ebastine Sandoz orodisp. tabl. 40 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=108621";"http://www.bcfi.be/nl/contents/jump?amppid=108621&view=pvt"
"3340536";"Atropine Sulfate Aguettant inj. oploss. i.m./i.v. [voorgev. spuit] 10 x 0,5 mg / 5 ml";"http://www.bcfi.be/nl/contents/jump?amppid=135251";"http://www.bcfi.be/nl/contents/jump?amppid=135251&view=pvt"
"3137403";"Aubagio filmomh. tabl. 28 x 14 mg";"http://www.bcfi.be/nl/contents/jump?amppid=108894";"http://www.bcfi.be/nl/contents/jump?amppid=108894&view=pvt"
"3147360";"Celecoxib EG harde caps. 60 x 200 mg";"http://www.bcfi.be/nl/contents/jump?amppid=109256";"http://www.bcfi.be/nl/contents/jump?amppid=109256&view=pvt"
"3154887";"Abilify inj. susp. verl. afgifte (pdr. + solv.) i.m. Maintena [2x flac.] 400 mg";"http://www.bcfi.be/nl/contents/jump?amppid=109421";"http://www.bcfi.be/nl/contents/jump?amppid=109421&view=pvt"
"3164514";"Escidivule omh. tabl. (deelb.) 30 x 20 mg";"http://www.bcfi.be/nl/contents/jump?amppid=109686";"http://www.bcfi.be/nl/contents/jump?amppid=109686&view=pvt"
"3435229";"Triplixam (Impexeco) 5/1,25/10 filmomh. tabl. 90 x";"http://www.bcfi.be/nl/contents/jump?amppid=135533";"http://www.bcfi.be/nl/contents/jump?amppid=135533&view=pvt"
"2987881";"Urgotul Ag Lite verband Border 3 x (8 x 8 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=130435";"http://www.bcfi.be/nl/contents/jump?amppid=130435&view=pvt"
"2942852";"Quetiapin Sandoz tabl. verl. afgifte Retard 100 x 200 mg";"http://www.bcfi.be/nl/contents/jump?amppid=126961";"http://www.bcfi.be/nl/contents/jump?amppid=126961&view=pvt"
"3182565";"Lumigan ocul. druppels oploss. (unidose) [zonder bew.] 90 x 0,12 mg / 0,4 ml";"http://www.bcfi.be/nl/contents/jump?amppid=109942";"http://www.bcfi.be/nl/contents/jump?amppid=109942&view=pvt"
"2942894";"Quetiapin Sandoz tabl. verl. afgifte Retard 100 x 300 mg";"http://www.bcfi.be/nl/contents/jump?amppid=126979";"http://www.bcfi.be/nl/contents/jump?amppid=126979&view=pvt"
"2981777";"Cosopt (PIP) 20/5 ocul. druppels oploss. Ocumeter Plus 3 x 5 ml";"http://www.bcfi.be/nl/contents/jump?amppid=126987";"http://www.bcfi.be/nl/contents/jump?amppid=126987&view=pvt"
"2950863";"Tavanic (Impexeco) filmomh. tabl. (deelb.) 10 x 500 mg";"http://www.bcfi.be/nl/contents/jump?amppid=135582";"http://www.bcfi.be/nl/contents/jump?amppid=135582&view=pvt"
"3432291";"Montelukast EG (Impexeco) filmomh. tabl. 28 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=135566";"http://www.bcfi.be/nl/contents/jump?amppid=135566&view=pvt"
"2647063";"Terbinafine Biorga tabl. (deelb.) 56 x 250 mg";"http://www.bcfi.be/nl/contents/jump?amppid=118323";"http://www.bcfi.be/nl/contents/jump?amppid=118323&view=pvt"
"3172319";"Pantomed (Impexeco) maagsapresist. tabl. 100 x 20 mg";"http://www.bcfi.be/nl/contents/jump?amppid=126805";"http://www.bcfi.be/nl/contents/jump?amppid=126805&view=pvt"
"3138476";"Quetiapine Teva tabl. verl. afgifte Retard 30 x 50 mg";"http://www.bcfi.be/nl/contents/jump?amppid=126953";"http://www.bcfi.be/nl/contents/jump?amppid=126953&view=pvt"
"3237880";"Aspirine omh. tabl. Fasttabs 40 x 500 mg";"http://www.bcfi.be/nl/contents/jump?amppid=126946";"http://www.bcfi.be/nl/contents/jump?amppid=126946&view=pvt"
"2922136";"Atorvastatine Mylan filmomh. tabl. (deelb.) 28 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=118380";"http://www.bcfi.be/nl/contents/jump?amppid=118380&view=pvt"
"3393980";"Elocta inj. oploss. (pdr. + solv.) i.v. [flac. + voorgev. spuit] 3 000 IE";"http://www.bcfi.be/nl/contents/jump?amppid=135715";"http://www.bcfi.be/nl/contents/jump?amppid=135715&view=pvt"
"3040359";"Alendronaat + Calcium/Vitamine D Combi Sandoz 1 x (filmomh. tabl. 4 + bruistabl. 24)";"http://www.bcfi.be/nl/contents/jump?amppid=126904";"http://www.bcfi.be/nl/contents/jump?amppid=126904&view=pvt"
"3270907";"Celecoxib Apotex harde caps. 100 x 200 mg";"http://www.bcfi.be/nl/contents/jump?amppid=126920";"http://www.bcfi.be/nl/contents/jump?amppid=126920&view=pvt"
"2922151";"Atorvastatine Mylan filmomh. tabl. (deelb.) 28 x 20 mg";"http://www.bcfi.be/nl/contents/jump?amppid=118406";"http://www.bcfi.be/nl/contents/jump?amppid=118406&view=pvt"
"3203254";"Progebel zachte caps. 45 x 200 mg";"http://www.bcfi.be/nl/contents/jump?amppid=126870";"http://www.bcfi.be/nl/contents/jump?amppid=126870&view=pvt"
"2988111";"Urgotul Lite verband Border 3 x (15 x 20 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=130393";"http://www.bcfi.be/nl/contents/jump?amppid=130393&view=pvt"
"3430246";"Augmentin 1/200 inj. oploss. (pdr.) i.v. [flac.] 10 x";"http://www.bcfi.be/nl/contents/jump?amppid=137968";"http://www.bcfi.be/nl/contents/jump?amppid=137968&view=pvt"
"2922177";"Atorvastatine Mylan filmomh. tabl. (deelb.) 84 x 40 mg";"http://www.bcfi.be/nl/contents/jump?amppid=118422";"http://www.bcfi.be/nl/contents/jump?amppid=118422&view=pvt"
"3075231";"Ibuprofen Mylan filmomh. tabl. Lysine 30 x 400 mg";"http://www.bcfi.be/nl/contents/jump?amppid=118596";"http://www.bcfi.be/nl/contents/jump?amppid=118596&view=pvt"
"3115813";"Fycompa filmomh. tabl. 28 x 6 mg";"http://www.bcfi.be/nl/contents/jump?amppid=118851";"http://www.bcfi.be/nl/contents/jump?amppid=118851&view=pvt"
"3391414";"Lipertance 20/5/5 filmomh. tabl. 30 x";"http://www.bcfi.be/nl/contents/jump?amppid=138701";"http://www.bcfi.be/nl/contents/jump?amppid=138701&view=pvt"
"3456589";"Augmentin 1/100 inj./inf. oploss. (pdr.) i.v. P [flac.] 10 x";"http://www.bcfi.be/nl/contents/jump?amppid=137950";"http://www.bcfi.be/nl/contents/jump?amppid=137950&view=pvt"
"2975902";"Suprasorb P verband Niet-klevend 5 x (15 x 20 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=129783";"http://www.bcfi.be/nl/contents/jump?amppid=129783&view=pvt"
"3421476";"Voriconazole Mylan filmomh. tabl. 30 x 200 mg";"http://www.bcfi.be/nl/contents/jump?amppid=138883";"http://www.bcfi.be/nl/contents/jump?amppid=138883&view=pvt"
"0062547";"Orap tabl. 75 x 1 mg";"http://www.bcfi.be/nl/contents/jump?amppid=2873";"http://www.bcfi.be/nl/contents/jump?amppid=2873&view=pvt"
"3147386";"Sertraline Apotex filmomh. tabl. (deelb.) 60 x 50 mg";"http://www.bcfi.be/nl/contents/jump?amppid=119180";"http://www.bcfi.be/nl/contents/jump?amppid=119180&view=pvt"
"3067907";"Colitofalk maagsapresist. gran. verl. afgifte (zakjes) 60 x 3 g";"http://www.bcfi.be/nl/contents/jump?amppid=125450";"http://www.bcfi.be/nl/contents/jump?amppid=125450&view=pvt"
"3137643";"Wilate inj./inf. oploss. (pdr. + solv.) i.v. [2x flac.] 500 IE + 500 IE";"http://www.bcfi.be/nl/contents/jump?amppid=125625";"http://www.bcfi.be/nl/contents/jump?amppid=125625&view=pvt"
"3187226";"Adoport harde caps. 100 x 2 mg";"http://www.bcfi.be/nl/contents/jump?amppid=125799";"http://www.bcfi.be/nl/contents/jump?amppid=125799&view=pvt"
"3195302";"Pramipexol Sandoz tabl. verl. afgifte Retard 100 x 1,05 mg";"http://www.bcfi.be/nl/contents/jump?amppid=125831";"http://www.bcfi.be/nl/contents/jump?amppid=125831&view=pvt"
"2480291";"Curasorb verband 10 x (5 x 5 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=106229";"http://www.bcfi.be/nl/contents/jump?amppid=106229&view=pvt"
"1232966";"Sorbalgon verband 10 x (10 x 10 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=103143";"http://www.bcfi.be/nl/contents/jump?amppid=103143&view=pvt"
"2843696";"Biatain Silicone verband Lite 10 x (12,5 x 12,5 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=129650";"http://www.bcfi.be/nl/contents/jump?amppid=129650&view=pvt"
"1543883";"Algoplaque verband Film 5 x (15 x 15 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=103655";"http://www.bcfi.be/nl/contents/jump?amppid=103655&view=pvt"
"3513348";"Softa-Man 45/18 gel (alc.) Viscorub 20 x 100 ml";"http://www.bcfi.be/nl/contents/jump?amppid=135897";"http://www.bcfi.be/nl/contents/jump?amppid=135897&view=pvt"
"1544444";"Suprasorb A verband 10 x (5 x 5 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=103705";"http://www.bcfi.be/nl/contents/jump?amppid=103705&view=pvt"
