"HyrCV";"HYR";"MPGRP";"TI";"INTRO";"POS"
"0000117";"AAD";false;"Combinatiepreparaten";"**_Plaatsbepaling_** - Dergelijke vaste associaties laten geen individuele dosisaanpassing van de verschillende actieve bestanddelen toe, maar zij bevorderen vermoedelijk de therapietrouw. Ze zijn vaak duurder dan de twee of drie componenten apart. **_Indicaties (synthese van de SKP)_** - Hypertensie, indien het gelijktijdig gebruik van twee of meer antihypertensiva nodig is ([zie 1.1. Hypertensie](http://www.bcfi.be/nl/contents/26)). - Bèta-blokker + ACE-inhibitor: ook stabiel coronairlijden en chronisch hartfalen ([zie 1.5. Bèta-blokkers](http://www.bcfi.be/nl/contents/570) _en_ [1.7.1. ACE-inhibitoren](http://www.bcfi.be/nl/contents/885)). **_Contra-indicaties, ongewenste effecten, zwangerschap, borstvoeding, interacties en bijzondere voorzorgen_** - [Zie 1.1. Hypertensie](http://www.bcfi.be/nl/contents/26) - Deze van de individuele bestanddelen ([zie 1.4. Diuretica](http://www.bcfi.be/nl/contents/398), [ 1.5. Bèta-blokkers](http://www.bcfi.be/nl/contents/570), [ 1.6. Calciumantagonisten](http://www.bcfi.be/nl/contents/703) _en_ [ 1.7. Middelen inwerkend op het renine-angiotensinesysteem](http://www.bcfi.be/nl/contents/877)). - **ACE-inhibitoren en sartanen zijn gecontra-indiceerd gedurende de hele duur van de zwangerschap ([zie Folia februari 2012](http://www.bcfi.be/nl/articles/query?number=F39N02B), [ 1.7.1. ACE-inhibitoren](http://www.bcfi.be/nl/contents/885) _en_ [ 1.7.2. Sartanen](http://www.bcfi.be/nl/contents/992) ).** **_Dosering_** - Sommige van de associaties bevatten lagere doses van de actieve bestanddelen dan wanneer de bestanddelen in monotherapie worden gebruikt, dit om het optreden van ongewenste effecten te verminderen; andere associaties bevatten de klassieke doses, voor gebruik bij ernstige hypertensie. Er wordt geen dosering voorgesteld; voor al deze producten geldt dat de dagdosis in één inname wordt toegediend.";"_"
"0000125";"AADA";true;"Bèta-blokker + diureticum";"_";"_"
"0000133";"AADB";true;"Bèta-blokker + calciumantagonist";"_";"_"
"0025809";"AADC";true;"Bèta-blokker + ACE-inhibitor";"_";"_"
"0000141";"AADD";true;"ACE-inhibitor + diureticum";"_";"_"
"0000158";"AADE";true;"ACE-inhibitor + calciumantagonist";"_";"_"
"0000166";"AADF";true;"Sartaan + diureticum";"_";"_"
"0000174";"AADG";true;"Sartaan + calciumantagonist";"_";"_"
"0000182";"AADH";true;"Renine-inhibitor + diureticum";"_";"_"
"0020628";"AADI";true;"ACE-inhibitor + calciumantagonist + diureticum";"_";"_"
"0000190";"AADJ";true;"Sartaan + calciumantagonist + diureticum";"_";"_"
"0000653";"AEG";true;"Labetalol";"_";"_per os:_ hypertensie - 200 à 400 mg p.d. in 2 doses"
"0000661";"AEH";true;"Metoprolol";"_";"_per os_: (uitgedrukt als metoprololtartraat) hypertensie, angor en aritmie - 100 à 200 mg p.d. in 1 à 2 doses hartfalen - 25 mg p.d. in 1 dosis, nadien langzaam verhogen tot 200 mg p.d. in 1 dosis sec. prev. myocardinfarct - 200 mg p.d. in 1 à 2 doses profyl. behandeling van migraine - 100 à 200 mg p.d. in 2 doses (of in 1 dosis voor verlengde afgifte)"
"0025015";"DC";false;"Diverse geneesmiddelen bij respiratoire aandoeningen";"_";"_"
"0025023";"DCA";false;"Respiratoire analeptica";"_";"_"
"0000208";"AB";false;"Angina pectoris";"De medicamenteuze behandeling van stabiele angina pectoris is vooral gebaseerd op middelen die ook de cardiale morbiditeit of mortaliteit doen dalen: - β-blokkers ([zie 1.5. Bèta-blokkers](http://www.bcfi.be/nl/contents/570)) - calciumantagonisten ([zie 1.6. Calciumantagonisten](http://www.bcfi.be/nl/contents/703)). Er is een beperktere plaats voor: - nitraten (acuut: sublinguaal; chronisch: oraal of transdermaal) - molsidomine - ivabradine. **Aangezien β-blokkers en calciumantagonisten meerdere belangrijke indicaties hebben, worden ze in afzonderlijke hoofdstukken besproken.** **_Plaatsbepaling_** - _Zie_ [Transparantiefiche “Aanpak van stabiele angor”](http://www.bcfi.be/nl/tf/NL/TN_ANGR.pdf). - Instabiele angor - instabiele angor is een urgentie die ziekenhuisopname vereist. Onmiddellijke toediening van anti-ischemische medicatie, antiaggregantia en anticoagulantia is vereist, eventueel ook morfine en zuurstof. Anti-ischemische behandeling bestaat uit nitraten sublinguaal of i.v. ([zie 1.2.1. Nitraten](http://www.bcfi.be/nl/contents/216)) en β-blokkers ([zie 1.5. Bèta-blokkers](http://www.bcfi.be/nl/contents/570)). Antiaggregerende behandeling dient te bestaan uit snel oplosbaar acetylsalicylzuur (160 à 300 mg, [zie 2.1.1.1. Acetylsalicylzuur](http://www.bcfi.be/nl/contents/1859)), waaraan zo snel mogelijk clopidogrel ([zie 2.1.1.2. Thiënopyridines](http://www.bcfi.be/nl/contents/1867)), prasugrel ([zie 2.1.1.2. Thiënopyridines](http://www.bcfi.be/nl/contents/1867)) of ticagrelor ([zie 2.1.1.5. Ticagrelor](http://www.bcfi.be/nl/contents/18812)) wordt toegevoegd. De plaats van de antagonisten van de glycoproteïne IIb/IIIa-receptoren ([zie 2.1.1.4. Antagonisten van de glycoproteïne IIb/IIIa-receptoren](http://www.bcfi.be/nl/contents/1933)) als sterkere antiaggregantia, is zeer beperkt. Als anticoagulantia komen heparines ([zie 2.1.2.2.1. Heparines](http://www.bcfi.be/nl/contents/25916)), fondaparinux ([zie 2.1.2.2.3. Fondaparinux](http://www.bcfi.be/nl/contents/25932)) en bivalirudine ([zie 2.1.2.2.2. Bivalirudine](http://www.bcfi.be/nl/contents/25924)) in aanmerking. - Acute aanval van angina pectoris - de eerste behandeling bestaat uit sublinguale toediening van een nitraat ([zie 1.2.1.1. Sublinguale en/of orale toediening](http://www.bcfi.be/nl/contents/224)). - Onderhoudsbehandeling van stabiele angor - β-blokkers ([zie 1.5. Bèta-blokkers](http://www.bcfi.be/nl/contents/570)) en calciumantagonisten ([zie 1.6. Calciumantagonisten](http://www.bcfi.be/nl/contents/703)) zijn het best onderbouwd; ook nitraten, molsidomine en ivabradine worden gebruikt. - Anti-anginosa beïnvloeden niet noodzakelijk de prognose (morbiditeit, mortaliteit) van het stabiele coronairlijden. Voor de β-blokkers en de calciumantagonisten is er evidentie dat zij mortaliteit en morbiditeit gunstig beïnvloeden. Dit is niet het geval voor nitraten, molsidomine en ivabradine. - Molsidomine is weinig onderbouwd; het heeft waarschijnlijk dezelfde eigenschappen als de nitraten. - Ivabradine heeft een bradycardiserend effect door een directe werking op de sinusknoop, en heeft dus enkel effect bij patiënten in sinusritme. Het is geen eerste keuze voor de onderhoudsbehandeling van angina pectoris: recente gegevens tonen geen effect op langetermijnmorbiditeit en -mortaliteit. - Bij silentieuze myocardischemie worden β-blokkers of calciumantagonisten gebruikt. - Bij alle patiënten met angor en zeker na myocardinfarct zal ook toediening van acetylsalicylzuur ([zie 2.1.1.1. Acetylsalicylzuur](http://www.bcfi.be/nl/contents/1859)) en van een statine ([zie 1.12.1. Statines](http://www.bcfi.be/nl/contents/1545)) overwogen worden.";"_"
"0000216";"ABA";false;"Nitraten";"Nitraten veroorzaken een veneuze dilatatie met daling van de _preload_ als gevolg; ze hebben ook een beperkt direct vasodilaterend effect op de arteriolen en de coronaire bloedvaten. **_Plaatsbepaling_** - [Zie 1.2. Angina pectoris](http://www.bcfi.be/nl/contents/208) - _Sublinguaal._ Nitroglycerine en isosorbidedinitraat kunnen sublinguaal gegeven worden op het ogenblik van een angoraanval of vóór een inspanning die een aanval kan uitlokken, alsook bij acuut longoedeem. Aan de patiënt moet duidelijk uitgelegd worden dat een nauw contact van het geneesmiddel met de mondmucosa nodig is. - _Oraal._ Isosorbidedinitraat wordt chronisch langs orale weg gegeven ter preventie van een acute aanval van angina pectoris. - _Transdermaal_. Nitroglycerine kan ter preventie van aanvallen bij angor ook worden toegediend via een transdermaal systeem met gecontroleerde vrijstelling. De te gebruiken hoeveelheid moet individueel worden bepaald, en het transdermale systeem moet gedurende een aantal uren per dag verwijderd worden. - _Intraveneus infuus._ Nitraten, toegediend in intraveneus infuus, kunnen een hemodynamische verbetering geven bij patiënten met ernstig hartfalen; ze hebben ook een beperkte plaats bij instabiele angor en in de acute fase van het myocardinfarct. **_Indicaties (synthese van de SKP)_** - Angina pectoris. - Linkerhartfalen (o.a. acuut longoedeem). - Acuut myocardinfarct (intraveneus infuus). **_Contra-indicaties_** - Hypotensie en shock. - Obstructieve cardiomyopathie. - Gebruik samen met een fosfodiësterase type 5-inhibitor (bv. sildenafil) of riociguat. **_Ongewenste effecten_** - Hoofdpijn (vooral in het begin van de behandeling), hypotensie (vooral orthostatisch en bij volumedepletie). - Transdermale systemen: ook huidirritatie. **_Interacties_** - Hypotensie bij associëren met antihypertensieve middelen of alcohol; ernstige hypotensie bij associëren met een fosfodiësterase type 5-inhibitor ([zie 7.3.1. Fosfodiësterase type 5-inhibitoren](http://www.bcfi.be/nl/contents/6353)) of riociguat ([zie 1.13. Middelen bij pulmonale hypertensie](http://www.bcfi.be/nl/contents/1768)). **_Bijzondere voorzorgen_** - Bij hoge doses en bij de eerste toedieningen moet men de patiënt aanraden de sublinguale nitraten zittend of liggend in te nemen gezien hypotensie, reflectoire tachycardie en syncope kunnen optreden. - Bij onvoldoende effect van sublinguale nitraten moet de patiënt dringend medisch advies vragen. - Bij chronisch gebruik van nitraten kan hun doeltreffendheid verminderen, vooral bij ononderbroken hoge plasmaconcentraties zoals bij gebruik van transdermale preparaten. Meestal worden dan ook nitraatvrije perioden ingelast, bijvoorbeeld door de avonddosis niet te geven of het transdermale systeem gedurende meerdere uren per dag te verwijderen. Dit is ook belangrijk bij intraveneus gebruik. - De transdermale systemen op basis van nitroglycerine mogen niet verknipt worden, tenzij anders vermeld in de SKP. - Gezien de aanwezigheid van metalen in sommige pleisters, moet de pleister verwijderd worden bij defibrillatie, elektrische cardioversie, diathermie of bij MRI [[zie Folia juni 2009](http://www.bcfi.be/nl/articles/query?number=F36N06C)].";"_"
"0000224";"ABAA";false;"Sublinguale en/of orale toediening";"_";"_"
"0000232";"ABAAA";true;"Isosorbidedinitraat";"_";"- _sublinguaal_: 2,5 à 5 mg - _per os_: meerdere malen p.d. 5 à 10 mg of meer"
"0000240";"ABAAB";true;"Nitroglycerine";"_";"_sublinguaal_: 0,3 à 0,6 mg"
"0000257";"ABAB";false;"Transdermale toediening";"_";"_"
"0000265";"ABABA";true;"Nitroglycerine";"_";"één of meerdere transdermale pleisters, 1 x p.d. aan te brengen gedurende 12 à 16 uur (maximum 20 mg per 24 uur)"
"0000273";"ABAC";false;"Intraveneuze toediening";"_";"_"
"0000281";"ABACA";true;"Isosorbidedinitraat";"_";"_"
"0000299";"ABB";false;"Molsidomine";"**_Plaatsbepaling_** - [Zie 1.2. Angina pectoris](http://www.bcfi.be/nl/contents/208) **_Indicaties (synthese van de SKP)_** - Angina pectoris, chronische behandeling (oraal). - Linkerhartfalen, bv. bij acuut myocardinfarct (intraveneus infuus). **_Contra-indicaties, ongewenste effecten, interacties en bijzondere voorzorgen_** - Deze van de nitraten ([zie 1.2.1. Nitraten](http://www.bcfi.be/nl/contents/216)); optreden van tolerantie kan niet uitgesloten worden.";"_"
"0000307";"ABBA";true;"Specialiteiten [Molsidomine]";"_";"_"
