"mppcv";"hyr_";"hyrcv";"ogc";"mpcv";"ouc";"mppnm";"VolgNr";"GalCV";"spef";"cq";"cu";"cfq";"cfu";"aq";"au";"afq";"afu";"atype";"cmucomb";"law";"ssecr";"pupr";"use";"note";"pos";"Content_";"GalNm_";"Index";"RemA";"RemW";"InnCnk";"VosNm_";"BT";"gdkp";"Excip";"Cheapest";"SpecRules";"Narcotic";"Amb";"Hosp"
"2256667";"OMEA";"0014811";"_";"16659-1230";"O";"Mepilex verband Border Lite 5x (10x10cm)";"_";"00789";"_";5;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";25.7700;"_";"_";"_";"_";"verband Border Lite";515.4000;25.7700;25.7700;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2480382";"OMDA";"0014795";"_";"6718-2238";"O";"Curafil gel 1x84g";"_";"00201";"_";1;"x";84.0000;"g";"_";"_";0.0000;"_";"_";"_";"_";"4";9.0000;"_";"_";"_";"_";"gel";10.7100;9.0000;9.0000;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2480630";"OMDA";"0014795";"_";"6718-2238";"O";"Curafil verband 25x (10x20cm)";"_";"00736";"_";25;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";105.0000;"_";"_";"_";"_";"verband [geïmpregneerd]";420.0000;105.0000;105.0000;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2672152";"OMEA";"0014811";"_";"3244-2261";"O";"Biatain verband Soft Hold 5x (10x10cm)";"_";"00719";"_";5;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";25.7800;"_";"_";"_";"_";"verband Soft Hold";515.6000;25.7800;25.7800;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2672236";"OMEA";"0014811";"_";"3251-2261";"O";"Biatain-Ag verband Klevend 5x (15x15cm)";"_";"00720";"_";5;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";39.6500;"_";"_";"_";"_";"verband Klevend";793.0000;39.6500;39.6500;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2672244";"OMEA";"0014811";"_";"3244-2261";"O";"Biatain verband Niet-klevend 5x (10x20cm)";"_";"00020";"_";5;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";35.1100;"_";"_";"_";"_";"verband Niet-klevend";702.2000;35.1100;35.1100;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2672251";"OMEA";"0014811";"_";"3244-2261";"O";"Biatain verband Niet-klevend 10x (10x10cm)";"_";"00020";"_";10;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";35.1100;"_";"_";"_";"_";"verband Niet-klevend";351.1000;35.1100;35.1100;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2672285";"OMEA";"0014811";"_";"3244-2261";"O";"Biatain verband Niet-klevend 10x (5x7cm)";"_";"00020";"_";10;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";18.1700;"_";"_";"_";"_";"verband Niet-klevend";181.7000;18.1700;18.1700;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"3048873";"OMEA";"0014811";"_";"28043-1917";"O";"Urgostart verband 5x (15x20cm)";"_";"00294";"_";5;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";48.2300;"_";"_";"_";"_";"verband";964.6000;48.2300;48.2300;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"3117108";"OMEA";"0014811";"_";"1065-1750";"O";"Allevyn verband Life Heel 5x (25x25,2cm)";"_";"00708";"_";5;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";65.6800;"_";"_";"_";"_";"verband Life Heel";1313.6000;65.6800;65.6800;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"3117082";"OMEA";"0014811";"_";"1065-1750";"O";"Allevyn verband Life Sacrum 10x (17,2x17,5cm)";"_";"00706";"_";10;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";57.9800;"_";"_";"_";"_";"verband Life Sacrum";579.8000;57.9800;57.9800;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"3433703";"DAFA";"0003806";"G";"17731-885";"O";"Montelukast Teva (Impexeco) kauwtabl. 98x 4mg";"_";"00037";"_";98;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"R";"b2";50.7200;"_";"parallelinvoer";"_";"_";"kauwtabl.";13.3200;13.0500;7.7500;"22020";"montelukast oraal 4 mg";false;true;"_";true;false;false;true;false
"3377306";"JCAAB";"0008177";"G";"9449-885";"O";"Escitalopram Sandoz (Impexeco) filmomh. tabl. (deelb.) 56x 10mg";"_";"00007";"_";56;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"R";"b";13.4500;"_";"parallelinvoer";"_";"_";"filmomh. tabl. (deelb.)";5.5400;3.1000;1.8600;"11171";"escitalopram oraal 10 mg";false;true;"_";true;false;false;true;false
"2988236";"OMFA";"0014837";"_";"31997-1917";"O";"Urgotul verband 3x (10x10cm)";"_";"00294";"_";3;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";17.7700;"_";"_";"_";"_";"verband";592.3300;17.7700;17.7700;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2988244";"OMFA";"0014837";"_";"31997-1917";"O";"Urgotul verband 10x (10x10cm)";"_";"00294";"_";10;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";38.6100;"_";"_";"_";"_";"verband";386.1000;38.6100;38.6100;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2988269";"OMFA";"0014837";"_";"31997-1917";"O";"Urgotul verband 10x (15x20cm)";"_";"00294";"_";10;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";80.0300;"_";"_";"_";"_";"verband";800.3000;80.0300;80.0300;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2186807";"OMDA";"0014795";"_";"32169-2402";"O";"L-Mesitran verband Border 5x (10x10cm)";"_";"00392";"_";5;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";21.8300;"_";"_";"_";"_";"verband Border";436.6000;21.8300;21.8300;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"3174141";"CCBA";"0002766";"_";"14795-885";"O";"Legalon (Impexeco) harde caps. 60x 140mg";"_";"00011";"_";60;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"R";"_";34.7100;"_";"parallelinvoer";"_";"_";"harde caps.";57.8500;34.7100;34.7100;"28720";"Silybum marianum oraal 140 mg";false;false;"_";false;false;false;true;false
"3479011";"TCA";"0016485";"_";"33258-2048";"U";"Orkambi 200/125 filmomh. tabl. 112x";"_";"00009";"_";112;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"_";"_";"_";"filmomh. tabl.";0.0000;0.0000;0.0000;"36285";"lumacaftor + ivacaftor oraal 200 mg + 125 mg";true;false;"_";false;false;false;true;false
"3376118";"RBC";"0016147";"_";"32862-67";"O";"Lidocaine Accord 10mg/1ml inj. oploss. [amp.] 20x 100mg/10ml";"_";"00572";"_";20;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"_";"_";"_";"inj. oploss. i.m./i.v./epidur./p.neur. [amp., locoregionale infiltr.]";0.0000;0.0000;0.0000;"19331";"lidocaïne injectie 10 mg / 1 ml [no switch: nauwe TT marge]";false;false;"_";false;false;false;true;false
"3060498";"JFFA";"0008698";"R";"25122-1529";"U";"Stalevo (PIP) 50/12,5/200 filmomh. tabl. 100x";"_";"00009";"_";100;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"R";"b4";55.9500;"_";"parallelle distributie";"_";"_";"filmomh. tabl.";18.1000;18.1000;12.7800;"19034";"levodopa + carbidopa + entacapon oraal 50 mg + 12,5 mg + 200 mg";false;false;"_";false;false;false;true;false
"3259983";"AGAE";"0000943";"G";"15420-1529";"O";"Lisinopril EG (PIP) tabl. (deelb. in 4) 56x 20mg";"_";"00371";"_";56;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"R";"b";15.9800;"_";"parallelinvoer";"_";"_";"tabl. (deelb. in 4)";7.0900;3.9700;2.3800;"19620";"lisinopril oraal 20 mg";false;true;"_";true;false;false;true;false
"3151156";"JDC";"0008334";"B";"23408-1529";"O";"Rilatine (PIP) tabl. (deelb.) 20x 10mg";"_";"00010";"_";20;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"R";"b4";7.9500;"_";"gelijkgesteld aan de verdovende middelen; parallelinvoer";"_";"_";"tabl. (deelb.)";6.0500;1.2100;0.7200;"20974";"methylfenidaat oraal 10 mg [VOS!: verdoving+]";false;false;"_";true;true;false;true;false
"3434792";"ALAA";"0001552";"G";"2451-885";"O";"Atorvastatine Teva (Impexeco) filmomh. tabl. 100x 40mg";"_";"00009";"_";100;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"R";"a4 b";24.2300;"_";"parallelinvoer";"_";"_";"filmomh. tabl.";6.7400;6.7400;4.0100;"2477";"atorvastatine oraal 40 mg";false;true;"_";true;false;false;true;false
"2988160";"OMEA";"0014811";"_";"32144-1917";"O";"Urgotul Lite verband 16x (13x12cm)";"_";"00294";"_";16;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";60.9700;"_";"_";"_";"_";"verband";381.0600;60.9700;60.9700;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"3272382";"OMFA";"0014837";"_";"32839-2477";"O";"Spycra Contact verband 10x (5x7,5cm)";"_";"00294";"_";10;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";28.0600;"_";"_";"_";"_";"verband";280.6000;28.0600;28.0600;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"3272556";"OMFA";"0014837";"_";"32839-2477";"O";"Spycra Contact verband 5x (10x18cm)";"_";"00294";"_";5;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";56.3200;"_";"_";"_";"_";"verband";1126.4000;56.3200;56.3200;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"3272564";"OMFA";"0014837";"_";"32839-2477";"O";"Spycra Contact verband 3x (18x30cm)";"_";"00294";"_";3;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";101.3800;"_";"_";"_";"_";"verband";3379.3300;101.3800;101.3800;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2970721";"OMFA";"0014837";"_";"32847-2477";"O";"Spycra Protect verband 10x (5x7,5cm)";"_";"00294";"_";10;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";28.0600;"_";"_";"_";"_";"verband";280.6000;28.0600;28.0600;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"0315523";"OAAL";"0013847";"_";"3608-265";"U";"Braunoderm 9,1/455 cut. spray oploss. (alc.) 250ml";"_";"00548";"_";1;"x";250.0000;"ml";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"_";"_";"_";"cut. spray oploss. (alc.)";0.0000;0.0000;0.0000;"26153";"povidon-jood + isopropanol spray cutaan 9,1 mg + 455 mg / 1 ml [no switch: lokaal]";false;false;"_";false;false;false;true;false
"3326071";"GBAC";"0006213";"_";"25841-885";"O";"Tamsulosine Teva (Impexeco) harde caps. geregul. afgifte 200x 0,4mg";"_";"00082";"_";200;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"R";"_";48.5000;"_";"parallelinvoer";"_";"_";"harde caps. geregul. afgifte";24.2500;48.5000;48.5000;"29710";"tamsulosine oraal (gereg. afgifte) 0,4 mg";false;false;"_";false;false;false;true;false
"3163128";"FCBAA";"0005702";"_";"398-885";"U";"Activelle (Impexeco) 1/0,5 filmomh. tabl. 3x28";"_";"00009";"_";3;"x";28.0000;"x";"_";"_";0.0000;"_";"_";"_";"R";"_";48.4700;"_";"geen onderbreking tussen de behandelingscycli; parallelinvoer";"_";"_";"filmomh. tabl.";57.7000;48.4700;48.4700;"11320";"estradiol + norethisteron oraal 1 mg + 0,5 mg";false;false;"_";false;false;false;true;false
"3350402";"JAAT";"0007674";"_";"16055-885";"O";"Lysanxia (Impexeco) tabl. (deelb.) 50x 10mg";"_";"00010";"_";50;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"R";"_";10.3100;"_";"parallelinvoer";"_";"_";"tabl. (deelb.)";20.6200;10.3100;10.3100;"26310";"prazepam oraal 10 mg";false;false;"_";false;false;false;true;false
"0900050";"OAAG";"0025346";"_";"32714-489";"O";"Ethanol Gedenatureerd Conforma 70% cut. oploss. (alc.) 250ml";"_";"00185";"_";1;"x";250.0000;"ml";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"_";"_";"_";"cut. oploss. (alc.)";0.0000;0.0000;0.0000;"35774";"ethanol oplossing cutaan [no switch: lokaal]";false;false;"_";false;false;false;true;false
"3203403";"KCAA";"0010561";"_";"28662-885";"O";"Vermox (Impexeco) tabl. (deelb.) 6x 100mg";"_";"00010";"_";6;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"_";5.9500;"_";"parallelinvoer";"_";"_";"tabl. (deelb.)";99.1700;5.9500;5.9500;"20099";"mebendazol oraal 100 mg";false;false;"_";false;false;false;true;false
"3146263";"LCBOA";"0025239";"_";"32185-935";"O";"Sylvant inf. oploss. conc. (pdr.) i.v. [flac.] 1x 100mg";"_";"00050";"_";1;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"weesgeneesmiddel";"_";"_";"inf. oploss. conc. (pdr.) i.v. [flac.]";0.0000;0.0000;0.0000;"35402";"siltuximab infusie 100 mg [NOVOS: biological]";true;false;"_";false;false;false;true;false
"3146271";"LCBOA";"0025239";"_";"32185-935";"O";"Sylvant inf. oploss. conc. (pdr.) i.v. [flac.] 1x 400mg";"_";"00050";"_";1;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"weesgeneesmiddel";"_";"_";"inf. oploss. conc. (pdr.) i.v. [flac.]";0.0000;0.0000;0.0000;"35410";"siltuximab infusie 400 mg [NOVOS: biological]";true;false;"_";false;false;false;true;false
"0681262";"OMBA";"0014753";"_";"8433-2253";"O";"Duoderm E verband 3x (20x20cm)";"_";"00294";"_";3;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";44.2900;"_";"_";"_";"_";"verband";1476.3300;44.2900;44.2900;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"1543925";"OMBA";"0014753";"_";"28027-1917";"O";"Urgomed verband 5x (5x7cm)";"_";"00294";"_";5;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";10.3700;"_";"_";"_";"_";"verband";207.4000;10.3700;10.3700;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"1544451";"OMAA";"0014738";"_";"25528-2295";"O";"Suprasorb A verband 10x (10x10cm)";"_";"00294";"_";10;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";35.1100;"_";"_";"_";"_";"verband";351.1000;35.1100;35.1100;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"1544501";"OMBA";"0014753";"_";"25551-2295";"O";"Suprasorb H verband 5x (20x20cm)";"_";"00294";"_";5;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";55.6500;"_";"_";"_";"_";"verband";1113.0000;55.6500;55.6500;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"1544527";"OMBA";"0014753";"_";"25551-2295";"O";"Suprasorb H verband Fijn 10x (5x20cm)";"_";"00493";"_";10;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";38.6100;"_";"_";"_";"_";"verband Fijn";386.1000;38.6100;38.6100;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"1544550";"OMBA";"0014753";"_";"25551-2295";"O";"Suprasorb H verband Fijn 5x (20x20cm)";"_";"00493";"_";5;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";55.6500;"_";"_";"_";"_";"verband Fijn";1113.0000;55.6500;55.6500;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2980175";"HCAB";"0006601";"_";"8755-1818";"O";"Effentora bucc. tabl. 28x 100µg";"_";"00029";"_";28;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"verdovend middel";"_";"_";"bucc. tabl.";0.0000;0.0000;0.0000;"12492";"fentanyl buccaal 100 µg [VOS!: verdoving+]";false;false;"_";false;false;true;true;false
"2980183";"HCAB";"0006601";"_";"8755-1818";"O";"Effentora bucc. tabl. 28x 200µg";"_";"00029";"_";28;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"verdovend middel";"_";"_";"bucc. tabl.";0.0000;0.0000;0.0000;"12542";"fentanyl buccaal 200 µg [VOS!: verdoving+]";false;false;"_";false;false;true;true;false
"2980191";"HCAB";"0006601";"_";"8755-1818";"O";"Effentora bucc. tabl. 28x 400µg";"_";"00029";"_";28;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"verdovend middel";"_";"_";"bucc. tabl.";0.0000;0.0000;0.0000;"12583";"fentanyl buccaal 400 µg [VOS!: verdoving+]";false;false;"_";false;false;true;true;false
"2980209";"HCAB";"0006601";"_";"8755-1818";"O";"Effentora bucc. tabl. 28x 600µg";"_";"00029";"_";28;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"verdovend middel";"_";"_";"bucc. tabl.";0.0000;0.0000;0.0000;"12625";"fentanyl buccaal 600 µg [VOS!: verdoving+]";false;false;"_";false;false;true;true;false
"2980217";"HCAB";"0006601";"_";"8755-1818";"O";"Effentora bucc. tabl. 28x 800µg";"_";"00029";"_";28;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"verdovend middel";"_";"_";"bucc. tabl.";0.0000;0.0000;0.0000;"12658";"fentanyl buccaal 800 µg [VOS!: verdoving+]";false;false;"_";false;false;true;true;false
"0316331";"RBE";"0021014";"_";"31286-2337";"U";"Lignospan 20/12,5 inj. oploss. [patr.] 50x1,8ml";"_";"00578";"_";50;"x";1.8000;"ml";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"_";"_";"_";"inj. oploss. oromuc./s.mucos. [patr.]";0.0000;0.0000;0.0000;"34520";"lidocaïne + epinefrine injectie submucosaal 20 mg + 12,5 µg / 1 ml [no switch: anesthesie]";false;false;"_";false;false;false;true;false
"2408193";"OMAA";"0014738";"_";"935-1750";"O";"Algisite M verband 3x (15x15cm)";"_";"00294";"_";3;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";27.0100;"_";"_";"_";"_";"verband";900.3300;27.0100;27.0100;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"3073129";"JKAC";"0018689";"G";"23556-1818";"O";"Rivastigmine Teva transderm. pleister 30x 9,5mg/24u";"_";"00080";"_";30;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"R";"b4";37.7400;"_";"_";"_";"_";"transderm. pleister";33.1700;9.9500;5.9200;"27862";"rivastigmine pleister transdermaal 9,5 mg / 24 u [no switch: transdermaal]";false;true;"_";true;false;false;true;false
"2408425";"OMGA";"0014852";"_";"4408-1750";"O";"Carbonet verband 10x (10x10cm)";"_";"00294";"_";10;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"4";111.2800;"_";"_";"_";"_";"verband";1112.8000;111.2800;111.2800;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"2480374";"OMDA";"0014795";"_";"6718-2238";"O";"Curafil gel 1x28g";"_";"00201";"_";1;"x";28.0000;"g";"_";"_";0.0000;"_";"_";"_";"_";"4";6.0000;"_";"_";"_";"_";"gel";21.4300;6.0000;6.0000;"34306";"actieve verbanden [NOVOS: actief verband]";false;false;"_";false;false;false;true;false
"0316349";"RBE";"0021014";"_";"31310-2337";"O";"Scandonest inj. oploss. Zonder Vaatvernauwer [patr.] 50x1,8ml 30mg/1ml";"_";"00723";"_";50;"x";1.8000;"ml";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"_";"_";"_";"inj. oploss. oromuc./s.mucos. Zonder Vaatvernauwer [patr.]";0.0000;0.0000;0.0000;"34538";"mepivacaïne injectie submucosaal 30 mg / 1 ml [no switch: anesthesie]";false;false;"_";false;false;false;true;false
"1711886";"RBD";"0021006";"_";"31443-2337";"U";"Xylonor 50/1,5 geïmpr. wattenschijfjes Pellets 200x";"_";"00288";"_";200;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"_";"_";"_";"gingiv./oromuc. geïmpr. wattenschijfjes Pellets";0.0000;0.0000;0.0000;"34819";"lidocaïne + cetrimide gingivaal/oromucosaal 50 mg + 1,5 mg / 1 g [no switch: lokaal]";false;false;"_";false;false;false;true;false
"0900001";"RBD";"0021006";"_";"31427-2345";"U";"Oraqix 25/25 p.odont. gel [patr.] 20x1,7g";"_";"00344";"_";20;"x";1.7000;"g";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"_";"_";"_";"p.odont. gel [patr.]";0.0000;0.0000;0.0000;"34793";"lidocaïne + prilocaïne peri-odontaal 25 mg + 25 mg / 1 g [no switch: lokaal]";false;false;"_";false;false;false;true;false
"3196094";"RBE";"0021014";"_";"31344-2345";"U";"Ubistesin Adrenaline 40/10 inj. oploss. dent. [patr.] 50x1,7ml";"_";"00262";"_";50;"x";1.7000;"ml";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"_";"_";"_";"inj. oploss. dent. [patr.]";0.0000;0.0000;0.0000;"34553";"articaïne + epinefrine injectie submucosaal 40 mg + 10 µg / 1 ml  [no switch: anesthesie]";false;false;"_";false;false;false;true;false
"3196102";"RBE";"0021014";"_";"31344-2345";"U";"Ubistesin Adrenaline 40/5 inj. oploss. dent. [patr.] 50x1,7ml";"_";"00262";"_";50;"x";1.7000;"ml";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"_";"_";"_";"inj. oploss. dent. [patr.]";0.0000;0.0000;0.0000;"34561";"articaïne + epinefrine injectie submucosaal 40 mg + 5 µg / 1 ml [no switch: anesthesie]";false;false;"_";false;false;false;true;false
"0900035";"RBD";"0021006";"_";"31419-2378";"O";"Hurricaine gel 28,5g 200mg/1g";"_";"00033";"_";1;"x";28.5000;"g";"_";"_";0.0000;"_";"_";"_";"_";"_";0.0000;"H";"_";"_";"_";"gingiv./oromuc. gel";0.0000;0.0000;0.0000;"34785";"benzocaïne gingivaal/oromucosaal 200 mg / 1 g [no switch: lokaal]";false;false;"_";false;false;false;true;false
"3078169";"CAABC";"0002576";"G";"19836-2485";"O";"Omeprazol AB harde maagsapresist. caps. 28x 40mg";"_";"00058";"_";28;"x";"_";"_";"_";"_";0.0000;"_";"_";"_";"R";"b2";21.0600;"_";"_";"_";"_";"harde maagsapresist. caps.";20.4300;5.7200;3.4300;"23887";"omeprazol oraal 40 mg";false;true;"_";true;false;false;true;false
