"MPcv";"Hyrcv";"Hyr_";"MPnm";"IRCV";"BT";"note";"pos";"WadaN";"WadaF";"rank";"nmcv";"Orphan";"SpecRules";"Narcotic";"Amb";"Hosp"
"19851-1529";"0002576";"CAABC";"Omeprazol Sandoz";"01529";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"7567-612";"0007567";"JAAI";"Diazepam EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29231-1347";"0006809";"IAAAB";"Voltaren";"01347";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"18408-257";"0016147";"RBC";"Naropin";"00257";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"2394-885";"0001552";"ALAA";"Atorstatineg";"00885";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29843-2022";"0000158";"AADE";"Zanicombo";"02022";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21030-1636";"0008201";"JCAAE";"Paroxetine Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21022-1289";"0008201";"JCAAE";"Paroxetine Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29231-1339";"0007054";"IABAA";"Voltaren";"01339";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"31856-2303";"0007922";"JBDA";"Aripiprazol Focus";"02303";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"15032-1354";"0004259";"EAADA";"Levemir";"01354";false;"_";"_";"H";"H";0;0;false;false;false;true;false
"24372-828";"0008201";"JCAAE";"Seroxat";"00828";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21089-1263";"0012252";"LCBLA";"Pegintron";"01263";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"7633-1636";"0006809";"IAAAB";"Diclofenac Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6148-1636";"0000141";"AADD";"Co-Ramipril Sandoz";"01636";false;"_";"_";"D";"D";0;0;false;false;false;true;false
"29231-885";"0006809";"IAAAB";"Voltaren";"00885";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"27623-2097";"0000141";"AADD";"Tritazide";"02097";false;"_";"_";"D";"D";0;0;false;false;false;true;false
"17350-1628";"0002436";"BCAA";"Mircera";"01628";false;"_";"_";"H";"H";0;0;false;false;false;true;false
"4952-2097";"0016485";"TCA";"Cerezyme";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29231-1529";"0007054";"IABAA";"Voltaren";"01529";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14183-1818";"0007054";"IABAA";"Kinespir Patch";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"7591-1826";"0015164";"PBBA";"Dicloabak";"01826";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"31872-2303";"0008086";"JCBBA";"Duloxetine Krka";"02303";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"4572-1347";"0006809";"IAAAB";"Cataflam";"01347";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"31773-1339";"0007054";"IABAA";"Voltapatch";"01339";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22681-612";"0000976";"AGAI";"Ramipril EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22038-828";"0011429";"LACBA";"Priorix Tetra";"00828";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23408-1347";"0008334";"JDC";"Rilatine";"01347";false;"_";"_";"S";"S";0;0;false;true;false;true;false
"75-1073";"0007922";"JBDA";"Abilify";"01073";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6601-885";"0000158";"AADE";"Coveram";"00885";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"30619-1982";"0018101";"JADC";"Rodizen";"01982";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"16907-612";"0000661";"AEH";"Metoprolol EG";"00612";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"1552-1289";"0009548";"KAAACC";"Amoxiclav Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"25536-2295";"0014738";"OMAA";"Suprasorb A + AG";"02295";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"1438-612";"0000729";"AFAA";"Amlodipine EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"31914-2303";"0020289";"JGBCA";"Pregabaline Krka";"02303";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"28886-406";"0010900";"KDCAAB";"Videx";"00406";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"1438-1529";"0000729";"AFAA";"Amlodipine EG";"01529";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"1000-570";"0012914";"MBDA";"Alimta";"00570";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"19901-240";"0006213";"GBAC";"Omic";"00240";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6437-935";"0008334";"JDC";"Concerta";"00935";false;"_";"_";"S";"S";0;0;false;true;false;true;false
"13698-1743";"0014530";"OEEA";"Isosupra";"01743";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"8557-125";"0015511";"PGA";"Duratears";"00125";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"30155-1446";"0000125";"AADA";"Zok-Zid";"01446";false;"_";"_";"B,D";"B,D";0;0;false;false;false;true;false
"15701-1651";"0000661";"AEH";"Lopresor";"01651";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"3327-1636";"0002436";"BCAA";"Binocrit";"01636";false;"_";"_";"H";"H";0;0;false;false;false;true;false
"27383-299";"0014340";"OBEB";"Travocort";"00299";false;"_";"_";"c";"c";0;0;false;false;false;true;false
"22616-976";"0014373";"OCA";"R Calm";"00976";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22533-1636";"0007963";"JBDF";"Quetiapin Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"16659-1230";"0014811";"OMEA";"Mepilex";"01230";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"7781-1131";"0014373";"OCA";"Diphamine";"01131";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6403-2261";"0014753";"OMBA";"Comfeel Plus";"02261";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"32896-2493";"0025437";"BADA";"Defitelio";"02493";true;"_";"_";"_";"_";0;0;true;false;false;true;false
"29546-1206";"0009100";"JHC";"Xeomeen";"01206";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"30858-844";"0012294";"LCBQA";"Inflectra";"00844";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"32979-67";"0017178";"MADA";"Bendamustine Accord";"00067";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21246-1636";"0000141";"AADD";"Perindopril / Indapamide Sandoz";"01636";false;"_";"_";"D";"D";0;0;false;false;false;true;false
"19497-976";"0012401";"LDABC";"Nustasium";"00976";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"15974-1347";"0016782";"PJA";"Lucentis";"01347";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"10348-2246";"0014738";"OMAA";"Flaminal";"02246";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23218-2097";"0018473";"LACHA";"Revaxis";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"16592-1818";"0009399";"JKBA";"Memantine Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23234-422";"0013243";"MHA";"Revlimid";"00422";true;"_";"_";"_";"_";0;0;true;false;false;true;false
"14506-232";"0000356";"ACAA";"Lanoxin";"00232";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29603-257";"0016147";"RBC";"Xylocaine";"00257";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"33373-2527";"0025635";"AHABA";"Brinavess";"02527";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"33381-1792";"0002246";"BBAA";"Elocta";"01792";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"28779-1339";"0015966";"QCBDA";"Vibrocil";"01339";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"31955-2261";"0014811";"OMEA";"Biatain Silicone";"02261";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26468-1446";"0015206";"PBDA";"Terra-Cortril + Polymyxine B";"01446";false;"_";"_";"c";"c";0;0;false;false;false;true;false
"14761-1446";"0012740";"MBAA";"Ledertrexate";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"20891-1081";"0006437";"HBAA";"Paracetamol Macopharma";"01081";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"31948-1750";"0014779";"OMCA";"Durafiber";"01750";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"2758-612";"0009837";"KABBA";"Azithromycine EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"2741-216";"0009837";"KABBA";"Azithromycin Apotex";"00216";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21923-1446";"0005777";"FDAA";"Prepidil";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22293-1446";"0005777";"FDAA";"Prostin E2";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"32904-1545";"0000695";"AEK";"Hemangiol";"01545";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"10116-1339";"0012427";"LDABE";"Fenistil";"01339";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"2766-1289";"0009837";"KABBA";"Azithromycine Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"2774-1636";"0009837";"KABBA";"Azithromycine Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6999-885";"0001503";"AKA";"Daflon";"00885";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"32953-1289";"0009712";"KAABCB";"Ceftazidim Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22715-1289";"0002535";"CAAAB";"Ranitidine Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6999-1701";"0001503";"AKA";"Daflon";"01701";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"24810-133";"0012195";"LCBHA";"Soliris";"00133";false;"_";"_";"_";"_";0;0;true;false;false;true;false
"9274-1818";"0012963";"MCAC";"Epirubicine Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22723-1636";"0002535";"CAAAB";"Ranitidine Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22194-265";"0019117";"RAAC";"Propofol B. Braun";"00265";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"7872-612";"0001917";"BAACA";"Dipyridamole EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6999-1529";"0001503";"AKA";"Daflon";"01529";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"31963-1917";"0014811";"OMEA";"Cellosorb";"01917";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"33407-67";"0002949";"CDBC";"Palonosetron Accord";"00067";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6619-1701";"0000950";"AGAG";"Coversyl";"01701";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23549-1289";"0018689";"JKAC";"Rivastigmine Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"16444-604";"0008334";"JDC";"Medikinet";"00604";false;"_";"_";"S";"S";0;0;false;true;false;true;false
"1800-2097";"0025171";"JEAB";"Antabuse";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"11270-1040";"0014332";"OBEA";"Fucidin Hydrocortisone";"01040";false;"_";"_";"c";"c";0;0;false;false;false;true;false
"13680-125";"0015339";"PEAA";"Isopto-Carpine";"00125";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"25981-2097";"0013177";"MEBB";"Taxotere";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"7922-612";"0001347";"AIAA";"Dobutamine EG";"00612";false;"_";"_";"S";"S";0;0;false;false;false;true;false
"646-2014";"0013979";"OABAA";"Affusine";"02014";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6619-885";"0000950";"AGAG";"Coversyl";"00885";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29140-1396";"0002337";"NBMA";"Vitamon K";"01396";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29835-828";"0014225";"OAFA";"Zalvor";"00828";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"7930-1289";"0001347";"AIAA";"Dobutrexmylan";"01289";false;"_";"_";"S";"S";0;0;false;false;false;true;false
"29470-299";"0017392";"BABDAC";"Xarelto";"00299";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"7815-596";"0020099";"JBBAD";"Dipiperon";"00596";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21485-1289";"0009589";"KAAAEA";"Piperacilline / Tazobactam Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"8417-372";"0003236";"CEDBC";"Dulcolax Picosulphate";"00372";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"2725-1818";"0008631";"JFDA";"Azilect";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23853-2097";"0001206";"AHCCA";"Rythmodan";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29868-828";"0002535";"CAAAB";"Zantac";"00828";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21303-372";"0001917";"BAACA";"Persantine";"00372";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"307-1305";"0002535";"CAAAB";"Acidine";"01305";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"33423-1222";"0006130";"GAAH";"Urolina";"01222";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"10017-1446";"0006957";"IAADB";"Feldene";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"7807-935";"0006700";"HCAK";"Dipidolor";"00935";false;"_";"_";"_";"_";0;0;false;false;true;true;false
"8094-612";"0002857";"CDAB";"Domperidone EG";"00612";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"21501-612";"0001479";"AJD";"Piracetam EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"19158-1321";"0003251";"CEGA";"Norgalax";"01321";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"3640-455";"0006957";"IAADB";"Brexine";"00455";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"10017-885";"0006957";"IAADB";"Feldene";"00885";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"3640-1529";"0006957";"IAADB";"Brexine";"01529";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22046-513";"0011874";"LBAA";"Privigen";"00513";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"19554-1370";"0011874";"LBAA";"Octagam";"01370";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"18028-414";"0011874";"LBAA";"Multigam";"00414";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14274-1628";"0002337";"NBMA";"Konakion";"01628";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"7955-2485";"0013177";"MEBB";"Docetaxel AB";"02485";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23960-513";"0011874";"LBAA";"Sandoglobuline";"00513";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"24471-125";"0015511";"PGA";"Siccagent";"00125";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21766-1289";"0008573";"JFBC";"Pramipexole Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21832-1636";"0001578";"ALAC";"Pravastatine Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21816-612";"0001578";"ALAC";"Pravastatine EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23465-1289";"0007310";"IEBE";"Risedronate Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"11643-1446";"0005074";"EECA";"Genotonorm";"01446";false;"_";"_";"H";"H";0;0;false;false;false;true;false
"28746-1446";"0010512";"KBCE";"Vfend";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"32607-1784";"0019646";"TAAIA";"Metiblo";"01784";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21592-1529";"0001875";"BAABA";"Plavix";"01529";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"8078-1289";"0002857";"CDAB";"Domperidon Mylan";"01289";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"8086-1818";"0002857";"CDAB";"Domperidon Teva";"01818";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"19083-1909";"0001479";"AJD";"Nootropil";"01909";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"3343-1388";"0014407";"ODA";"Biogaze Spray";"01388";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"3863-1818";"0003756";"DADBA";"Budesonide Teva";"01818";false;"_";"_";"c";"c";0;0;false;false;false;true;false
"22210-711";"0019117";"RAAC";"Propolipid";"00711";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"12427-570";"0005074";"EECA";"Humatrope";"00570";false;"_";"_";"H";"H";0;0;false;false;false;true;false
"22228-612";"0000695";"AEK";"Propranolol EG";"00612";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"22236-1800";"0017624";"EBCA";"Propylthiouracile";"01800";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"33365-1347";"0025684";"ACDA";"Entresto";"01347";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"3186-968";"0018200";"NBIA";"Betapyr";"00968";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22509-596";"0013524";"NBEA";"Pyridoxine";"00596";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"33027-1347";"0013243";"MHA";"Votubia";"01347";false;"_";"_";"_";"_";0;0;true;false;false;true;false
"17814-943";"0002857";"CDAB";"Motilium";"00943";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"5546-257";"0016147";"RBC";"Citanest";"00257";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"16048-1446";"0020289";"JGBCA";"Lyrica";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"32060-2303";"0007963";"JBDF";"Quetiapine Krka";"02303";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"18226-2428";"0016816";"JGBDB";"Mysoline";"02428";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6635-1263";"0001032";"AGBD";"Cozaar";"01263";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"28134-315";"0005942";"FFAA";"Utrogestan";"00315";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21345-2097";"0012518";"LDABI";"Phenergan";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23861-2386";"0001248";"AHCEA";"Rytmonorm";"02386";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"7823-257";"0019117";"RAAC";"Diprivan";"00257";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22202-612";"0019117";"RAAC";"Propofol EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"12997-257";"0000695";"AEK";"Inderal";"00257";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"4937-2204";"0018663";"BABFA";"Ceprotin";"02204";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"752-125";"0015495";"PFA";"Alcaine";"00125";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"16766-1115";"0009340";"JJA";"Mestinon";"01115";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29801-1248";"0012468";"LDABG";"Zaditen";"01248";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13623-1115";"0016030";"QDBA";"Iso-Betadine";"01115";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"31765-166";"0015149";"PBAA";"Pred";"00166";false;"_";"_";"c";"c";0;0;false;false;false;true;false
"17814-885";"0002857";"CDAB";"Motilium";"00885";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"18796-299";"0013227";"MGA";"Nexavar";"00299";false;"_";"_";"_";"_";0;0;true;false;false;true;false
"24364-257";"0007963";"JBDF";"Seroquel";"00257";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23580-1628";"0012310";"LCBRA";"RoActemra";"01628";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22566-1289";"0007963";"JBDF";"Quetiapine Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"8425-2253";"0014753";"OMBA";"Duoderm";"02253";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"1560-1636";"0009548";"KAAACC";"Amoxiclav Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"8250-612";"0015479";"PEFA";"Dorzolamide / Timolol EG";"00612";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"8318-1818";"0012955";"MCAB";"Doxorubicine Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"562-1446";"0012955";"MCAB";"Adriblastina";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22541-216";"0007963";"JBDF";"Quetiapine Apotex";"00216";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"1024-232";"0012583";"MAAA";"Alkeran";"00232";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"7104-828";"0010710";"KCCCA";"Daraprim";"00828";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"24661-1446";"0016527";"JCBAD";"Sinequan";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"33175-1636";"0008086";"JCBBA";"Duloxetine Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26344-1289";"0015479";"PEFA";"TensocMylan";"01289";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"24968-1636";"0001263";"AHCFA";"Sotalol Sandoz";"01636";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"5223-570";"0019448";"GCCC";"Cialis";"00570";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"31971-2295";"0014811";"OMEA";"Suprasorb P";"02295";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"16980-372";"0001057";"AGBF";"Micardis";"00372";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"8334-968";"0009910";"KACA";"Doxycycline Kela";"00968";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"8342-1636";"0009910";"KACA";"Doxycycline Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"8359-1743";"0009910";"KACA";"Doxylets";"01743";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"117-1446";"0000968";"AGAH";"Accupril";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"125-1446";"0000141";"AADD";"Accuretic";"01446";false;"_";"_";"D";"D";0;0;false;false;false;true;false
"6122-612";"0000141";"AADD";"Co-Quinapril EG";"00612";false;"_";"_";"D";"D";0;0;false;false;false;true;false
"6130-1636";"0000141";"AADD";"Co-Quinapril Sandoz";"01636";false;"_";"_";"D";"D";0;0;false;false;false;true;false
"20966-935";"0002592";"CAABE";"Pariet";"00935";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26971-844";"0012914";"MBDA";"Tomudex";"00844";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23390-2097";"0010108";"KAKCB";"Rifocine";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"9993-2097";"0007203";"ICDA";"Fasturtec";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14191-299";"0000166";"AADF";"Kinzalkomb";"00299";false;"_";"_";"D";"D";0;0;false;false;false;true;false
"22988-1818";"0017749";"RABC";"Remifentanil Teva";"01818";false;"_";"_";"N";"N";0;0;false;false;true;true;false
"27854-828";"0017749";"RABC";"Ultiva";"00828";false;"_";"_";"N";"N";0;0;false;false;true;true;false
"19398-1354";"0017566";"EADA";"NovoNorm";"01354";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23093-1636";"0017566";"EADA";"Repaglinide Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"406-1990";"0007310";"IEBE";"Actonel";"01990";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23085-612";"0017566";"EADA";"Repaglinide EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29157-1131";"0014704";"OJA";"Vitamuruine";"01131";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6510-1628";"0019554";"KDED";"Copegus";"01628";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23382-2097";"0010355";"KAHBA";"Rifadine";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23416-2097";"0018143";"JMA";"Rilutek";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23457-612";"0007310";"IEBE";"Risedronate EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23481-935";"0007971";"JBDG";"Risperdal";"00935";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26922-125";"0015081";"PABE";"Tobravisc";"00125";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"30866-1271";"0012294";"LCBQA";"Remsima";"01271";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"10322-2097";"0017947";"FABD";"Flagyl";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
