"GalCV";"NGalNm";"FGalNm";"Amb";"Hosp"
"00071";"vag. tabl.";"compr. vag.";true;false
"00072";"inj./inf. emuls. i.v. [flac.]";"émuls. inj./perf. i.v. [flac.]";true;false
"00073";"verband Adhesive";"pansement Adhesive";true;false
"00074";"inj./inf. emuls. i.v. [amp.]";"émuls. inj./perf. i.v. [amp.]";true;false
"00075";"inj. oploss. i.v. [flac.]";"sol. inj. i.v. [flac.]";true;false
"00076";"transderm. pleister";"dispositif transderm.";true;false
"00077";"harde caps. geregul. afgifte Retard";"gél. lib. modif. Retard";true;false
"00078";"ocul. druppels oploss.";"collyre sol.";true;false
"00079";"zachte caps.";"caps. molle";true;false
"00080";"bruistabl. Soluble";"compr. efferv. Soluble";true;false
"00081";"inf. oploss. (conc.) i.v. [amp.]";"sol. perf. à diluer i.v. [amp.]";true;false
"00082";"bruistabl.";"compr. efferv.";true;false
"00083";"harde caps. verl. afgifte";"gél. lib. prol.";true;false
"00084";"orodisp. tabl. Lyotabs";"compr. orodisp. Lyotabs";true;false
"00085";"inj./inf. oploss. i.m./i.v./s.c. [amp.]";"sol. inj./perf. i.m./i.v./s.c. [amp.]";true;false
"00086";"oploss. (pdr., zakjes)";"sol. (pdr, sachet)";true;false
"00087";"rect. gel";"gel rect.";true;false
"00088";"bruistabl. (deelb.) Dryfiz";"compr. efferv. (séc.) Dryfiz";true;false
"00089";"inf. oploss. i.v. [flac.]";"sol. perf. i.v. [flac.]";true;false
"00090";"inj./drinkb. oploss. i.m./i.v./or. [amp.]";"sol. inj./buv. i.m./i.v./or. [amp.]";true;false
"00091";"inf. oploss. (pdr. + solv.) i.v. [2x flac.]";"sol. perf. (pdr + solv.) i.v. [2x flac.]";true;false
"00092";"filmomh. tabl. Wekelijks";"compr. pellic. Hebdomadaire";true;false
"00093";"inj. oploss. (pdr. + solv.) s.c. GoQuick [voorgev. pen]";"sol. inj. (pdr + solv.) s.c. GoQuick [stylo prérempli]";true;false
"00094";"cut. spray oploss.";"sol. spray cut.";true;false
"00095";"vernevelsusp. (unidose) [0,5 mg/ml]";"susp. inhal. nébul. (unidose) [0,5 mg/ml]";true;false
"00096";"inj. oploss. s.c. [patr.] voor Humatrope Pen";"sol. inj. (pdr + solv.) s.c. [cart.] pour Humatrope Pen";true;false
"00097";"orodisp. tabl. Instant";"compr. orodisp. Instant";true;false
"00098";"inj. oploss. epidur./epilaes./p.neur. [flac., locoregionale infiltr.]";"sol. inj. épilés./p.dural/p.neur. [flac., infiltr. locorégionale]";true;false
"00099";"zachte caps. or.";"caps. molle or.";true;false
"00100";"inj. oploss. i.m. [amp.]";"sol. inj. i.m. [amp.]";true;false
"00101";"inf. emuls. i.v. [flac.]";"émuls. perf. i.v. [flac.]";true;false
"00102";"inj./inf. emuls. i.v. [voorgev. spuit]";"émuls. inj./perf. i.v. [ser. préremplie]";true;false
"00103";"inj. oploss. (pdr. + solv.) i.v. [2x flac.]";"sol. inj. (pdr + solv.) i.v. [2x flac.]";true;false
"00104";"gorgeldrank/mondspoeling Mondwater";"gargarisme/bain de bouche Buccale";true;false
"00105";"ocul. druppels susp. Forte";"collyre susp. Forte";true;false
"00106";"filmomh. tabl. (deelb. in 4)";"compr. pellic. (séc. en 4)";true;false
"00107";"verband Extra dun";"pansement Extra mince";true;false
"00108";"inj./inf. oploss. (pdr.) i.v. [flac.]";"sol. inj./perf. (pdr) i.v. [flac.]";true;false
"00109";"inf./instill. oploss. (conc.) i.v./i.vesic. [flac.]";"sol. perf./instill. à diluer i.v./i.vésic. [flac.]";true;false
"00110";"verband Zelfklevend";"pansement Auto-adhésif";true;false
"00111";"inj. oploss. s.c. [voorgev. spuit]";"sol. inj. s.c. [ser. préremplie]";true;false
"00112";"disp. tabl. (deelb.)";"compr. disp. (séc.)";true;false
"00113";"inj./inf./instill. oploss. i.v./i.artic./i.laes./cut./i.oss./i.perit./i.pleur. [amp.]";"sol. inj./perf./instill. i.v./i.artic./i.lés./cut./i.oss./i.périt./i.pleur. [amp.]";true;false
"00114";"inf. oploss. conc. (pdr. + solv.) i.v. [flac. + amp.]";"sol. perf. à diluer (pdr + solv.) i.v. [flac. + amp.]";true;false
"00115";"inj./inf. oploss. conc. (pdr.) i.v. [flac.]";"sol. inj./perf. à diluer (pdr) i.v. [flac.]";true;false
"00116";"zalf";"pommade";true;false
"00117";"inf. oploss. (pdr. + solv.) i.v. [flac. + amp.]";"sol. perf. (pdr + solv.) i.v. [flac. + amp.]";true;false
"00118";"verband Niet-klevend";"pansement Non adhésif";true;false
"00119";"ovule";"ovule";true;false
"00120";"inf. emuls. (conc.) i.v. Kind [amp.]";"émuls. perf. à diluer i.v. Enfant [amp.]";true;false
"00121";"endotrach./inhal./nas. druppels/verneveloploss. (pdr. + solv.) [druppelfl.]";"sol. gtts/inhal. nébul. (pdr + solv.) endotrach./inhal./nas. [flac. compte-gouttes]";true;false
"00122";"cut. oploss. Lotion";"sol. cut. Lotion";true;false
"00123";"cut. pasta";"pâte cut.";true;false
"00124";"verband HP";"pansement HP";true;false
"00125";"transderm. gel";"gel transderm.";true;false
"00126";"transderm. gel (doseerpomp)";"gel transderm. (pompe doseuse)";true;false
"00127";"inj./inf. oploss. i.v. [amp.]";"sol. inj./perf. i.v. [amp.]";true;false
"00128";"doseeraerosol susp. Autohaler [ademgest.]";"susp. inhal. (flacon press.) Autohaler [déclenché par la resp.]";true;false
"00129";"doseeraerosol susp. [inhalator]";"susp. inhal. (flacon press.) [inhalateur]";true;false
"00130";"verband Plus";"pansement Plus";true;false
"00131";"verband Sacrum Niet-klevend";"pansement Sacrum Non adhésif";true;false
"00132";"inj. oploss. i.thec. [amp.]";"sol. inj. i.théc. [amp.]";true;false
"00133";"filmomh. tabl. Conti";"compr. pellic. Conti";true;false
"00134";"verneveloploss. [druppelfl.]";"sol. inhal. nébul. [flac. compte-gouttes]";true;false
"00135";"inj./inf. oploss. i.m./i.v./s.c. [voorgev. spuit]";"sol. inj./perf. i.m./i.v./s.c. [ser. préremplie]";true;false
"00136";"transderm. pleister TTS";"dispositif transderm. TTS";true;false
"00137";"inhalatiepdr. (voorverdeeld) Turbohaler";"poudre inhal. (unidose) Turbohaler";true;false
"00138";"doseeraerosol susp. Evohaler";"susp. inhal. (flacon press.) Evohaler";true;false
"00139";"doseeraerosol oploss. [inhalator]";"sol. inhal. (flacon press.) [inhalateur]";true;false
"00140";"inhalatiepdr. (patr.) [Novolizer]";"poudre inhal. (cart.) [Novolizer]";true;false
"00141";"inhalatiepdr. Diskus";"poudre inhal. Diskus";true;false
"00142";"gran. (zakjes)";"gran. (sachet)";true;false
"00143";"gel (alc.) Viscorub";"gel (alc.) Viscorub";true;false
"00144";"inj. oploss. (pdr. + solv.) i.v. [2x amp.]";"sol. inj. (pdr + solv.) i.v. [2x amp.]";true;false
"00145";"inj. oploss. (pdr. + solv.) i.v. [flac. + amp.]";"sol. inj. (pdr + solv.) i.v. [flac. + amp.]";true;false
"00146";"oploss. (zakjes) Unidose";"sol. (sachet) Unidose";true;false
"00147";"inj. oploss. s.c. SimpleXx [patr.] voor NordiPen 10";"sol. inj. s.c. SimpleXx [cart.] pour NordiPen 10";true;false
"00148";"inj. oploss. s.c. [patr.] voor NutropinAq Pen";"sol. inj. s.c. [cart.] pour NutropinAq Pen";true;false
"00149";"inj. oploss. s.c. SimpleXx [patr.] voor NordiPen 5";"sol. inj. s.c. SimpleXx [cart.] pour NordiPen 5";true;false
"00150";"inj./inf. oploss. i.v./epidur. [amp.]";"sol. inj./perf. i.v./p.dural [amp.]";true;false
"00151";"inj./inf. oploss. i.v./epidur. Forte [amp.]";"sol. inj./perf. i.v./p.dural Forte [amp.]";true;false
"00152";"cut. oploss.";"sol. cut.";true;false
"00153";"siroop susp.";"sirop susp.";true;false
"00154";"tabl. (deelb.) Forte";"compr. (séc.) Forte";true;false
"00155";"maagsapresist. tabl. E.C.";"compr. gastro-résist. E.C.";true;false
"00156";"tabl. D";"compr. D";true;false
"00157";"instill. susp. endotrach.";"susp. instill. endotrach.";true;false
"00158";"inj./inf./drinkb. oploss. (pdr. + solv.) i.m./i.v./or. [flac. + amp.]";"sol. inj./perf./buv. (pdr + solv.) i.m./i.v./or. [flac. + amp.]";true;false
"00159";"or. gel";"gel or.";true;false
"00160";"inj. oploss. (pdr.) i.m./i.v. [flac.]";"sol. inj. (pdr) i.m./i.v. [flac.]";true;false
"00161";"inj. oploss. i.vitr. [voorgev. spuit]";"sol. inj. i.vitr. [ser. préremplie]";true;false
"00162";"harde caps. verl. afgifte Retard";"gél. lib. prol. Retard";true;false
"00163";"tabl. verl. afgifte (deelb.) L.A.";"compr. lib. prol. (séc.) L.A.";true;false
"00164";"gran. verl. afgifte (zakjes)";"gran. lib. prol. (sachet)";true;false
"00165";"verband Border";"pansement Border";true;false
"00166";"harde caps. verl. afgifte Slow Release";"gél. lib. prol. Slow Release";true;false
"00167";"inj. oploss. verl. afgifte i.m. Decanoas [amp.]";"sol. inj. lib. prol. i.m. Decanoas [amp.]";true;false
"00168";"tabl. geregul. afgifte";"compr. lib. modif.";true;false
"00169";"inj. oploss. s.c. [voorgev. pen]";"sol. inj. s.c. [stylo prérempli]";true;false
"00170";"transderm. lok. crème";"crème transderm. local";true;false
"00171";"tabl. verl. afgifte Uno";"compr. lib. prol. Uno";true;false
"00172";"ocul. druppels verl. afgifte LA";"collyre lib. prol. LA";true;false
"00173";"tabl. verl. afgifte (deelb.) Retard";"compr. lib. prol. (séc.) Retard";true;false
"00174";"oromuc. spray oploss. Freshmint";"sol. spray oromuq. Freshmint";true;false
"00175";"zachte maagsapresist. caps.";"caps. molle gastro-résist.";true;false
"00176";"transderm. lok. spray oploss.";"sol. spray transderm. local";true;false
"00177";"kauwtabl.";"compr. à croquer";true;false
"00178";"inj. oploss. s.c. SureClick [voorgev. pen]";"sol. inj. s.c. SureClick [stylo prérempli]";true;false
"00179";"disp. tabl.";"compr. disp.";true;false
"00180";"transderm. lok. gel";"gel transderm. local";true;false
"00181";"verband Hydro";"pansement Hydro";true;false
"00182";"susp. (gran.) Junior";"susp. (gran.) Junior";true;false
"00183";"inj. oploss. i.m./i.v./s.c. [amp.]";"sol. inj. i.m./i.v./s.c. [amp.]";true;false
"00184";"inj. oploss. i.m./i.v./s.c. [voorgev. spuit]";"sol. inj. i.m./i.v./s.c. [ser. préremplie]";true;false
"00185";"tabl. verl. afgifte (deelb.)";"compr. lib. prol. (séc.)";true;false
"00186";"inhalatiepdr. (harde caps.) Breezhaler";"poudre inhal. (gél.) Breezhaler";true;false
"00187";"gel";"gel";true;false
"00188";"gran.";"gran.";true;false
"00189";"zalf voor inhalatiedamp [pot]";"pommade inhal. vapeur [pot]";true;false
"00190";"zetpil Kind";"supp. Enfant";true;false
"00191";"inf. oploss. (pdr. + solv.) i.v. [flac. + voorgev. spuit]";"sol. perf. (pdr + solv.) i.v. [flac. + ser. préremplie]";true;false
"00192";"oploss. (unidose) Forte";"sol. (unidose) Forte";true;false
"00193";"inj./inf. oploss. (pdr. + solv.) i.v. [flac. + voorgev. spuit]";"sol. inj./perf. (pdr + solv.) i.v. [flac. + ser. préremplie]";true;false
"00194";"inj. oploss. s.c. [flac.]";"sol. inj. s.c. [flac.]";true;false
"00195";"ocul. druppels oploss. (unidose) [zonder bew.]";"collyre sol. (unidose) [sans cons.]";true;false
"00196";"tabl. geregul. afgifte (deelb.)";"compr. lib. modif. (séc.)";true;false
"00197";"nas. spray susp.";"susp. spray nas.";true;false
"00198";"inj./inf. oploss. (pdr. + solv.) i.v. [2x flac.]";"sol. inj./perf. (pdr + solv.) i.v. [2x flac.]";true;false
"00199";"subling. lyofilisaat Melt";"lyophilisat subling. Melt";true;false
"00200";"inj./inf. oploss. i.v./i.arter. [flac.]";"sol. inj./perf. i.v./i.artér. [flac.]";true;false
"00201";"susp. (zakjes) (zonder suiker) Zonder Suiker";"susp. (sachet) (sans sucre) Sans Sucre";true;false
"00202";"filmomh. tabl. Forte";"compr. pellic. Forte";true;false
"00203";"tabl. (deelb.) Tabs";"compr. (séc.) Tabs";true;false
"00204";"i.uter. afleveringssysteem";"système de diffusion i.utér.";true;false
"00205";"inhalatiepdr. Nexthaler";"poudre inhal. Nexthaler";true;false
"00206";"inhalatiepdr. (voorverdeeld) Genuair";"poudre inhal. (unidose) Genuair";true;false
"00207";"or. poeder (zakjes)";"poudre (sachet) or.";true;false
"00208";"inf. oploss. (conc.) i.perit. [voorgev. spuit]";"sol. perf. à diluer i.périt. [ser. préremplie]";true;false
"00209";"harde caps. geregul. afgifte XR";"gél. lib. modif. XR";true;false
"00210";"orodisp. tabl.";"compr. orodisp.";true;false
"00211";"transderm. pleister Matrix";"dispositif transderm. Matrix";true;false
"00212";"bruisgran. (zakjes)";"gran. efferv. (sachet)";true;false
"00213";"transderm. spray oploss. (doseerpomp)";"sol. spray transderm. (pompe doseuse)";true;false
"00214";"inj. susp. verl. afgifte i.m. [voorgev. spuit]";"susp. inj. lib. prol. i.m. [ser. préremplie]";true;false
"00215";"inj./inf. oploss. i.v./s.c. [flac.]";"sol. inj./perf. i.v./s.c. [flac.]";true;false
"00216";"vernevelsusp. (unidose) [0,25 mg/ml]";"susp. inhal. nébul. (unidose) [0,25 mg/ml]";true;false
"00217";"filmomh. tabl. Lysine";"compr. pellic. Lysine";true;false
"00218";"inj. susp. i.vitr. [flac.]";"susp. inj. i.vitr. [flac.]";true;false
"00219";"verband Zink";"pansement Zinc";true;false
"00220";"inj./inf. oploss. i.m./i.v./i.thec./i.arter. [flac.]";"sol. inj./perf. i.m./i.v./i.théc./i.artér. [flac.]";true;false
"00221";"inj. susp. i.m./s.c. [voorgev. spuit]";"susp. inj. i.m./s.c. [ser. préremplie]";true;false
"00222";"inj. oploss. i.v./s.c. [flac.]";"sol. inj. i.v./s.c. [flac.]";true;false
"00223";"inj. oploss. i.m. [flac.]";"sol. inj. i.m. [flac.]";true;false
"00224";"ocul. insert";"insert opht.";true;false
"00225";"inj. oploss. i.thec. Hyperbar [amp.]";"sol. inj. i.théc. Hyperbar [amp.]";true;false
"00226";"oploss. (unidose)";"sol. (unidose)";true;false
"00227";"verband Tulle";"pansement Tulle";true;false
"00228";"inj. susp. i.m. [flac.]";"susp. inj. i.m. [flac.]";true;false
"00229";"inj./inf. oploss. i.m./i.v. [flac.]";"sol. inj./perf. i.m./i.v. [flac.]";true;false
"00230";"rect. oploss. Kind";"sol. rect. Enfant";true;false
"00231";"susp. (pdr., zakjes)";"susp. (pdr, sachet)";true;false
"00232";"inj./inf. oploss. (pdr. + solv.) i.m./i.v. [flac. + amp.]";"sol. inj./perf. (pdr + solv.) i.m./i.v. [flac. + amp.]";true;false
"00233";"medic. kauwgom Freshmint";"gomme à mâcher médic. Freshmint";true;false
"00234";"inj. oploss. i.m. [voorgev. spuit]";"sol. inj. i.m. [ser. préremplie]";true;false
"00235";"wiek T";"mèche T";true;false
"00236";"kauwtabl. (deelb.)";"compr. à croquer (séc.)";true;false
"00237";"oploss. (gran., zakjes)";"sol. (gran., sachet)";true;false
"00238";"geïmpr. verbandgaas Intertulle";"compresse impr. Intertulle";true;false
"00239";"ocul. gel";"gel opht.";true;false
"00240";"inj. oploss. i.artic. [voorgev. spuit]";"sol. inj. i.artic. [ser. préremplie]";true;false
"00241";"omh. tabl. Fasttabs";"compr. enr. Fasttabs";true;false
"00242";"inj. oploss. i.v. [voorgev. spuit]";"sol. inj. i.v. [ser. préremplie]";true;false
"00243";"gastro-ent./or. susp. (gran.)";"susp. (gran.) gastro-ent./or.";true;false
"00244";"inj./huidpriktest oploss. (pdr. + solv.) s.c./i.derm. [flac.]";"sol. inj./prick-test (pdr + solv.) s.c./i.derm. [flac.]";true;false
"00245";"inj. susp. i.m./s.c. Junior [voorgev. spuit]";"susp. inj. i.m./s.c. Junior [ser. préremplie]";true;false
"00246";"inj. susp. i.m. Junior [voorgev. spuit]";"susp. inj. i.m. Junior [ser. préremplie]";true;false
"00247";"or. vloeist.";"liquide or.";true;false
"00248";"zetpil Zuigel.";"supp. Bébé";true;false
"00249";"zetpil Kind en Zuigel.";"supp. Enfant et Bébé";true;false
"00250";"zalf Balsem";"pommade Baume";true;false
"00251";"siroop oploss. Honing";"sirop sol. Miel";true;false
"00252";"inj. oploss. i.m./i.v. [amp.]";"sol. inj. i.m./i.v. [amp.]";true;false
"00253";"orofar. spray oploss.";"sol. spray orophar.";true;false
"00254";"gorgeldrank/mondspoeling";"gargarisme/bain de bouche";true;false
"00255";"zetpil Volw.";"supp. Adulte";true;false
"00256";"inj./inf. oploss. (pdr. + solv.) i.m./i.v. [flac.]";"sol. inj./perf. (pdr + solv.) i.m./i.v. [flac.]";true;false
"00257";"i.v. kit voor radiofarm. prep. [flac.]";"trousse pour prép. radiopharm. i.v. [flac.]";true;false
"00258";"siroop susp. (zonder suiker) Rood Kinderen";"sirop susp. (sans sucre) Rouge Enfants";true;false
"00259";"siroop susp. (zonder suiker) Kinderen";"sirop susp. (sans sucre) Enfants";true;false
"00260";"zetpil Kinderen";"supp. Enfants";true;false
"00261";"omh. tabl. Kinderen";"compr. enr. Enfants";true;false
"00262";"inj. susp. s.c. Cartridge [patr.]";"susp. inj. s.c. Cartridge [cart.]";true;false
"00263";"inj. oploss. i.m./i.v./endotrach./i.oss. [voorgev. spuit]";"sol. inj. i.m./i.v./endotrach./i.oss. [ser. préremplie]";true;false
"00264";"inj. susp. i.m./s.c. [flac.]";"susp. inj. i.m./s.c. [flac.]";true;false
"00265";"inj. oploss. (pdr.) i.v. [flac.]";"sol. inj. (pdr) i.v. [flac.]";true;false
"00266";"bruistabl. (deelb.)";"compr. efferv. (séc.)";true;false
"00267";"zetpil GE";"supp. GE";true;false
"00268";"harde caps. Fastcaps";"gél. Fastcaps";true;false
"00269";"crème (zakjes)";"crème (sachet)";true;false
"00270";"inj. susp. s.c. Penfill [patr.]";"susp. inj. s.c. Penfill [cart.]";true;false
"00271";"inj. susp. s.c. FlexPen [voorgev. pen]";"susp. inj. s.c. FlexPen [stylo prérempli]";true;false
"00272";"inj. oploss. s.c. FlexPen [voorgev. pen]";"sol. inj. s.c. FlexPen [stylo prérempli]";true;false
"00273";"inj. oploss. i.v./i.arter. [flac.]";"sol. inj. i.v./i.artér. [flac.]";true;false
"00274";"inj./instill. oploss. i.v./i.artic./i.arter./i.card./i.uter. [flac.]";"sol. inj./instill. i.v./i.artic./i.artér./i.card./i.utér. [flac.]";true;false
"00275";"inj. oploss. i.v./i.arter./i.card. [flac.]";"sol. inj. i.v./i.artér./i.card. [flac.]";true;false
"00276";"inj./instill. oploss. i.v./i.artic./i.thec./i.arter./i.uter./or./rect. [flac.]";"sol. inj./instill. i.v./i.artic./i.théc./i.artér./i.utér./or./rect. [flac.]";true;false
"00277";"subling. tabl.";"compr. subling.";true;false
"00278";"inj./instill. oploss. i.v./i.thec./i.arter./i.duct. [flac.]";"sol. inj./instill. i.v./i.théc./i.artér./i.canal. [flac.]";true;false
"00279";"inj./instill. oploss. i.v./i.arter./i.card./i.duct. [flac.]";"sol. inj./instill. i.v./i.artér./i.canal./i.card. [flac.]";true;false
"00280";"geïmpr. verbandgaas Tule";"compresse impr. Tulle";true;false
"00281";"cut. oploss. Dermaal";"sol. cut. Dermique";true;false
"00282";"cut. oploss. Dermicum";"sol. cut. Dermique";true;false
"00283";"vag. oploss. Gynecologie";"sol. vag. Gynécologie";true;false
"00284";"vag. oploss. Unigyn";"sol. vag. Unigyn";true;false
"00285";"gorgeldrank/mondspoeling Buccaal";"gargarisme/bain de bouche Buccal";true;false
"00286";"or./subling. tabl. (deelb.)";"compr. or./subling. (séc.)";true;false
"00287";"omh. tabl. (deelb.)";"compr. enr. (séc.)";true;false
"00288";"inj./inf. oploss. i.v./i.arter. [voorgev. spuit]";"sol. inj./perf. i.v./i.artér. [ser. préremplie]";true;false
"00289";"auric./cut./nas./ocul. druppels susp. (pdr. + solv.)";"gtts susp. (pdr + solv.) auric./cut./nas./opht.";true;false
"00290";"inj./inf./instill. oploss. i.v./i.arter./i.uter. [flac.]";"sol. inj./perf./instill. i.v./i.artér./i.utér. [flac.]";true;false
"00291";"inj./inf./instill. oploss. i.v./i.arter./i.card. [flac.]";"sol. inj./perf./instill. i.v./i.artér./i.card. [flac.]";true;false
"00292";"inj./inf. oploss. i.v./i.duct. [flac.]";"sol. inj./perf. i.v./i.canal. [flac.]";true;false
"00293";"zeep (unidose) Uniwash";"savon (unidose) Uniwash";true;false
"00294";"inj./inf./instill. oploss. i.v./i.uter. [flac.]";"sol. inj./perf./instill. i.v./i.utér. [flac.]";true;false
"00295";"oploss. (pdr., zakjes) Junior Neutral";"sol. (pdr, sachet) Junior Neutral";true;false
"00296";"oploss. (pdr., zakjes) Junior";"sol. (pdr, sachet) Junior";true;false
"00297";"oploss. (pdr., zakjes) Junior Aroma";"sol. (pdr, sachet) Junior Arome";true;false
"00298";"oploss. (pdr., zakjes) Natuur";"sol. (pdr, sachet) Nature";true;false
"00299";"cut. spray oploss. (alc.)";"sol. spray cut. (alc.)";true;false
"00300";"inj. oploss. i.v./i.arter. [voorgev. spuit, autom. inject.]";"sol. inj. i.v./i.artér. [ser. préremplie, inject. autom.]";true;false
"00301";"inj. oploss. i.v./i.arter. [voorgev. spuit]";"sol. inj. i.v./i.artér. [ser. préremplie]";true;false
"00302";"or./rect. oploss.";"sol. or./rect.";true;false
"00303";"inj. oploss. i.uter. [flac.]";"sol. inj. i.utér. [flac.]";true;false
"00304";"zeep Germicide";"savon Germicide";true;false
"00305";"siroop oploss. (zakjes)";"sirop sol. (sachet)";true;false
"00306";"shampoo";"shampooing";true;false
